31741791
/m/0gty64l
/m/0gty64l

2008-06
{"/m/05h83": "Non-fiction"}
10 1
11 3
2005 1
a 10
about 1
acknowledged 1
american 1
amidst 1
an 1
and 4
anderson 1
animals 2
as 2
asked 1
at 3
attack 1
awaiting 1
bear 1
before 1
begins 1
behind 1
biggest 1
birds 1
black 1
boat 2
book 3
bowed 1
brief 1
but 1
by 2
captain 2
cars 1
cat 2
center 1
chapter 1
city 2
cnn 1
cooper 1
couple 1
course 1
covered 2
crescent 1
dateline 1
day 1
department 1
describes 1
devoid 1
disaster 1
dog 1
dogs 1
drove 1
efforts 1
enforcement 1
even 1
except 1
excerpt 1
featured 1
feet 1
few 1
for 3
freeway 1
from 2
gray 1
heads 1
heard 1
his 2
history 1
hours 1
hurricane 1
if 1
in 7
included 1
it 2
just 1
katrina 1
known 1
largest 1
launch 1
lawnmowers 1
leashes 1
left 1
life 2
look 1
loss 1
lost 2
moment 3
natural 1
nbc 1
new 1
no 6
not 2
observing 1
of 9
offramp 2
on 5
our 1
out 2
owner 1
paralyzed 1
parks 1
partially 1
pets 1
pitbull 1
planes 1
poignant 1
point 1
railing 1
red 1
remember 1
rescue 1
rescued 1
rescuing 2
reunite 1
rubble 1
scott 1
search 1
searchandrescue 1
september 1
set 1
shields 1
soil 1
somber 1
sound 2
standing 1
story 1
stranded 1
take 1
team 1
terrier 1
terrorist 1
that 3
the 19
then 1
there 1
they 1
thick 1
those 3
tied 1
time 1
to 5
too 1
trade 1
trains 1
transport 1
us 4
used 1
uttered 1
voices 1
wake 1
was 6
water 1
we 3
were 1
while 1
whose 2
with 4
world 1
york 1
