12048056
/m/02vn2j_
/m/02vn2j_
Jim Butcher
2008-04-01
11 1
a 57
abandoned 1
abduction 1
abilities 1
ability 1
about 4
accept 1
accepting 1
accepts 1
accords 2
activates 1
admits 1
adopts 1
advantages 1
affair 1
afford 1
after 4
against 2
agents 2
agreement 2
agrees 3
aiding 1
alive 1
all 3
allcomplete 1
alley 1
allows 1
almost 1
alone 1
already 1
amends 1
amoracchius 1
an 5
anastasia 1
and 57
andor 1
angelic 1
angels 1
another 2
antagonize 1
any 2
apartment 1
apparently 1
appear 2
appears 3
apprentice 1
approach 1
aquarium 1
archangel 1
archive 7
are 10
argues 1
armed 1
arrive 1
arrived 1
arrives 2
as 17
asked 1
asks 3
assaulted 1
assistance 1
at 16
attack 6
attacked 2
attacking 2
attacks 1
attempts 1
attention 1
automatic 1
back 4
backed 1
backup 1
badly 1
bat 1
battlefield 1
battlescarred 1
be 5
bearing 1
because 1
become 2
been 5
beetle 1
before 3
behind 1
believes 1
belonging 1
bends 1
best 1
between 3
big 1
bigger 1
bite 1
blackened 1
blasting 2
blazes 2
blinds 1
blood 1
boat 2
bodyguard 1
bombshell 1
boomerangs 1
boon 3
both 2
bouncing 1
brief 1
brightness 1
bring 2
brothel 1
brother 3
building 5
bulletproof 1
burned 1
business 2
but 10
buy 1
buying 1
by 10
cache 1
called 1
calls 3
can 4
cannot 3
captain 2
captured 1
carpenter 4
carpenters 1
carves 1
case 3
cat 1
center 1
chance 1
chaotic 1
chapel 2
charade 1
charitys 1
chase 1
check 1
chicago 5
children 1
choose 1
church 1
citizen 1
city 4
civilians 1
claims 2
clean 1
clue 1
clustered 1
coerce 1
coin 1
collected 1
come 2
company 1
compelled 2
complete 1
completely 1
conditions 1
conflicted 1
confronts 2
consult 1
consulting 1
contained 1
continue 1
convinces 1
copter 3
copy 1
correct 1
corrupted 1
could 1
council 4
counsel 1
counterattack 1
counters 1
court 8
cover 2
create 1
creatures 1
crime 1
cross 4
damaged 1
darkness 4
day 1
deal 1
death 3
declines 1
defeat 1
defend 1
deirdre 2
delightful 1
demands 3
demeter 5
demolished 1
demons 1
denarian 2
denarians 15
denarii 1
denarius 1
departs 1
deserted 1
desperation 1
destroyed 1
devastating 1
devises 1
die 1
dinner 1
directs 2
discussion 1
dispel 1
displays 1
disrupts 1
distract 1
divine 1
do 2
does 1
doesnt 1
doghead 1
done 1
doughnut 3
dream 1
dresden 96
dresdens 3
drive 1
driven 1
drives 2
ducking 1
during 2
duster 1
each 1
ease 1
effects 1
either 1
eldest 3
emissary 3
end 2
energy 1
enforcers 1
enhanced 1
enters 2
envelopes 1
escape 5
escapes 2
even 1
evening 1
events 1
eventually 1
everyone 1
exact 1
exchange 2
exclusive 1
executive 1
explains 2
exterminate 1
facilitate 1
fae 2
fairies 1
fast 1
father 1
favor 1
favors 2
feint 1
fends 1
few 1
fidelacchius 1
fight 2
file 1
finally 1
find 3
finds 1
fire 3
first 2
fitness 1
fix 6
flee 2
flowing 1
follows 1
for 10
formal 1
formidable 2
free 3
freshly 2
friendly 1
friends 1
from 5
frosting 2
fulfill 1
full 1
gained 1
gard 8
gave 3
gesture 1
gets 4
girl 2
give 1
gives 2
gloves 1
go 1
goatlike 1
god 1
goes 1
good 1
gorgeous 1
got 1
grateful 1
gratitude 1
gruff 18
gruffs 8
guard 1
guess 1
gun 4
gunman 1
guns 1
gym 1
had 4
hair 1
halfbrother 1
handle 1
harm 2
has 10
have 4
havoc 1
he 36
head 1
health 1
heated 1
heating 1
heaven 1
help 1
henchmen 1
hendricks 3
her 14
herjust 1
hes 2
hiding 1
hilt 1
him 15
himself 1
hints 1
his 22
hobs 7
hold 1
holds 1
home 2
honorable 1
hopes 2
hospital 2
house 7
how 2
hummer 3
hunt 1
hunted 1
if 4
implies 1
in 24
inches 1
initially 1
injured 1
insists 4
instructions 1
interloping 1
interrogates 1
intervene 1
into 5
investigating 2
involved 2
is 34
island 2
it 12
its 3
ivy 5
ivys 1
janitor 3
job 1
john 1
judas 1
just 5
karrin 1
kidnap 1
kidnapping 1
kill 5
killed 2
killing 1
kincaid 2
knee 1
knight 4
knights 2
knocks 1
know 1
lake 1
lands 1
larger 1
later 2
leading 1
leaf 3
least 3
leather 1
leave 3
leaves 1
leaving 1
let 2
lieutenants 1
life 1
light 1
like 1
lily 1
limits 1
links 1
little 1
locates 1
locked 1
locker 3
long 1
look 1
lord 1
lose 1
lost 1
lower 1
luccio 5
mab 8
machine 1
made 2
magic 4
magical 6
magically 1
magog 1
maintaining 1
make 3
makes 2
manhandle 1
mantis 1
mantle 1
marcone 12
marconeor 1
marked 1
mary 1
masks 1
mass 1
mcanally 1
meaner 1
medical 1
meeting 4
meets 3
membership 1
men 3
mercenaries 1
merry 1
michael 14
michigan 1
midnight 1
might 1
miniature 1
miss 1
mission 1
mister 1
mob 1
mockup 1
molly 3
momentum 1
mortal 1
most 1
mouse 2
mousemdashposing 1
move 1
ms 12
murphy 9
must 5
myrk 3
nail 1
need 1
needs 2
negotiations 1
neutral 1
nevernever 1
new 1
newly 1
news 1
nicodemus 10
night 1
no 1
noose 1
not 7
obey 1
objection 1
obliterates 1
occupied 1
of 39
off 6
offer 1
offering 1
offers 2
office 1
older 1
on 14
one 9
onemdashmantis 1
ones 1
only 1
opens 1
or 3
orders 1
other 2
out 3
outraged 2
outright 1
over 4
owes 2
own 1
panic 2
parleys 1
partially 1
partners 1
party 1
pass 2
penetrate 1
persuasive 1
piece 1
plan 1
planning 1
plans 1
platform 1
pleasant 1
pleased 1
plus 1
pointing 1
points 1
police 2
portions 1
possible 1
potential 1
pour 1
powerful 2
powers 1
pretends 1
priority 1
pristine 1
private 1
privately 1
probably 1
propensity 1
protect 2
protective 1
protest 1
protests 1
pulls 1
pure 1
purposes 1
pursue 1
pursues 1
puts 1
queen 7
quiet 1
quietly 1
quite 1
rapid 1
rather 1
real 2
realize 1
realizes 4
really 1
recoverymdashbittersweet 1
recruit 1
red 1
reenters 1
refuse 1
rejoining 1
relative 1
releases 1
remaining 2
remarkable 1
remember 1
reneges 1
repent 1
represents 1
request 1
requests 2
rescue 3
rescues 1
response 1
results 1
retreat 1
return 5
returns 2
reveals 4
right 2
rightofway 1
rod 3
rolls 1
room 2
rosannas 1
rounds 1
run 1
safe 4
safety 1
samples 4
sanya 3
satisfaction 1
save 1
saved 2
savors 1
says 1
scene 1
schedules 1
search 1
section 1
security 1
see 3
seizes 1
sensing 1
separated 1
sergeant 1
serious 1
service 1
sets 1
several 1
severely 1
she 13
shedd 1
shields 1
shiro 1
shoot 1
shoots 1
shore 1
shot 1
shotgun 1
should 1
siblings 1
sight 1
signatories 1
signatory 1
silver 1
simple 1
since 2
situation 1
small 1
snowballs 1
so 5
some 4
spares 1
speak 3
spectacular 1
speed 2
spell 1
spray 1
sprinkler 1
sprinkles 1
sprinklesand 1
squat 1
st 1
staff 1
start 1
startled 1
station 5
stay 1
steel 1
steeljacketed 1
still 3
stop 1
storm 1
story 1
stranded 1
strangles 1
strength 1
stronger 1
summer 9
summons 1
sure 1
surgery 2
survived 1
suspecting 1
suspects 1
swarm 1
swears 1
sword 5
swords 1
sworn 1
system 1
take 1
takes 1
talk 2
target 1
teaching 1
team 1
tells 2
temporarily 2
terms 1
than 2
thanks 1
that 26
the 169
their 6
them 7
then 2
thereby 1
these 1
they 16
theyve 1
thick 1
this 5
thomas 16
those 2
though 1
threat 1
threatens 1
three 1
through 2
throw 1
thunderstruck 1
time 3
to 76
token 1
told 1
too 1
took 1
toottoot 3
torelli 4
towers 1
town 1
track 1
train 1
trinket 1
truth 1
two 4
uncooperative 1
under 2
union 2
unseelie 2
up 6
updates 1
upstart 1
urging 1
us 1
use 2
used 1
uses 2
using 3
vampires 1
vanishes 1
very 1
vest 1
vip 1
visits 1
voices 1
vows 1
waiting 1
wake 1
want 2
wants 1
war 1
ward 2
warded 1
warden 2
warm 1
warned 1
warns 2
was 3
watched 1
watchman 1
water 2
way 1
weakening 2
weapons 1
wearing 1
what 1
when 5
where 2
which 3
while 2
white 8
who 4
why 1
will 9
winter 6
with 27
without 1
wording 1
worn 1
worries 1
would 2
wounded 2
wreak 1
wreck 1
wrecked 1
year 1
you 1
younger 1
zalord 1
