9752584
/m/02pr35s
/m/02pr35s
Ellen Titlebaum
2000
1th 1
1thcentury 1
a 3
about 4
adds 1
all 1
amenities 1
and 8
animals 1
are 1
as 3
australia 3
bill 1
blue 1
book 1
bryson 2
by 2
car 1
century 1
certain 1
chapter 1
constant 1
conversations 1
country 1
crossing 1
culture 2
daresay 1
deprivations 1
describes 1
details 1
done 1
drank 2
drinking 1
each 1
economy 1
enabled 1
explorer 1
explorers 2
extreme 1
geography 1
he 3
heatmoon 1
highways 1
him 1
his 6
history 1
horse 1
humorous 1
i 1
impressions 1
in 5
include 1
intertwined 1
its 1
jokingly 1
lack 1
least 1
life 2
locality 1
makes 1
many 2
natural 1
notably 1
of 5
or 2
own 2
people 1
plants 1
railway 1
recurring 1
reference 1
research 1
resources 1
settlers 1
similar 1
some 1
stories 1
style 1
suffered 1
survive 1
the 5
their 2
themes 1
thereof 1
they 1
throughout 1
to 4
travels 1
unusual 1
urine 3
walk 1
walks 1
was 1
well 1
who 1
william 1
with 2
woods 1
writings 1
wry 1
