4908656
/m/0ctpc5
/m/0ctpc5
Dean Koontz
1982
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
aged 1
all 1
although 1
an 1
and 2
antisemitic 1
anything 1
appear 1
are 1
around 1
as 1
at 2
bed 1
begin 1
begins 1
but 1
calls 1
can 1
cant 1
claim 1
colleagues 1
company 1
connected 1
crime 2
death 1
decade 1
decide 1
despite 1
discover 1
do 1
doppelgangers 1
dr 2
dreams 1
earlier 1
exist 1
experiences 1
fact 1
fiance 2
for 1
from 1
ghosts 1
got 1
hallucinations 1
has 1
hate 1
have 1
having 1
helps 1
her 9
horrific 1
hospital 2
how 1
if 2
in 3
including 1
jog 1
led 1
mcgee 2
meantime 1
memory 2
men 3
mind 1
murder 1
must 1
named 1
no 1
none 1
not 2
nothing 1
novel 1
of 5
only 1
or 4
over 1
passed 1
past 2
phone 1
physician 1
recall 1
recent 1
recognize 1
recollection 1
recover 1
related 1
responsible 1
revolves 1
seem 1
she 6
show 1
some 1
susan 5
that 3
the 10
them 1
there 1
these 1
they 1
thorton 1
to 8
tormenting 1
tries 1
trust 1
up 2
vivid 1
wakes 1
where 1
whether 1
who 2
with 1
witnessed 1
woman 1
works 1
years 1
