4486200
/m/0c526m
/m/0c526m
Devaki Nandan Khatri
1888
{"/m/01hmnh": "Fantasy"}
7book 1
a 6
about 1
adventures 1
after 1
aiyyars 1
and 6
another 1
any 1
at 1
away 1
befriends 1
being 1
belong 1
breaks 1
captures 1
chandrakanta 7
chandrkanta 1
children 1
chunar 1
chunarfort 1
chunargarh 1
coaxes 1
cost 1
court 1
dealing 1
dreams 1
endeavour 1
ensnare 1
fails 1
fantasy 1
fights 1
finds 1
flees 1
fort 1
from 1
has 1
he 1
help 1
herself 1
his 1
in 4
inspired 1
is 1
khatri 1
king 2
kingdom 1
kingdoms 1
krur 3
kunvar 1
lovers 1
major 1
many 1
marrying 1
member 1
naugarh 1
neighbouring 1
novel 2
of 8
over 1
powerful 1
prince 1
princess 1
prisoner 1
prominent 1
referring 1
renaming 1
rival 1
romantic 1
running 1
santati 1
sequels 1
series 1
shivdutt 5
singh 6
story 1
taking 1
that 2
the 13
throne 1
tilism 3
to 4
two 1
vijaygarh 2
virendra 3
when 1
while 1
who 1
with 3
write 1
