27854352
/m/0cc683z
/m/0cc683z

1974
{"/m/05h83": "Non-fiction"}
10 1
1015 1
16 1
161 1
166 1
168 2
25year 1
34broadcasting34 1
34criticism34 1
34distractor34 1
34here 1
34lessons 1
34planning34 1
34summative 1
34this 2
34we 1
34with 1
34writer3s 1
8 1
a 14
about 3
acclaim 1
according 3
actors 1
addresses 1
adjusted 1
adults 1
affected 1
after 1
agreed 1
all 3
already 1
also 3
although 1
always 1
america 1
american 2
amount 1
an 4
analyzed 1
and 47
animation 1
animationwith 1
antoine 1
any 2
anything 1
applied 1
approached 1
approximately 2
are 1
arguments 1
as 8
ascertain 1
assist 1
assumptions 1
at 1
attempting 1
attended 1
attention 3
attracts 1
audience 3
author 1
avoid 1
away 1
based 1
be 5
became 2
been 1
begin 1
begins 2
behind 1
between 1
blames 1
bob 1
book 5
both 1
breaks 1
bridge 1
broadcast34 1
broadcasting 1
budget 1
but 2
by 11
called 1
can 1
care 1
cartoons 1
cast 2
categories 1
change 1
chapter 1
chapters 3
characters 1
child 2
child3s 1
children 17
children34 1
children3s 3
childwatching 1
city 1
collected 1
combines 1
community 1
comparing 1
composer 1
concepts 1
conditions 1
connects 1
connell 1
consistently 1
content 1
cooney 2
could 2
country 1
country34 1
created 1
creating 2
creators 2
crew 1
critical 1
criticism 2
critics3 1
ctw3s 1
curriculum 2
data 1
david 1
de 1
decided 1
defined 1
deliberately 1
demonstrating 1
depicting 1
describes 4
describing 1
design 1
designed 1
despite 1
detail 2
developed 1
development 2
devoted 1
did 1
difference 1
differences 1
different 1
do 1
down 1
drawn 1
educate 1
education 1
educational 6
edward 2
effect 2
effectiveness 2
effects 1
efficacy 1
eight 1
eighteen 1
elements 1
emphasizes 1
enjoyable 1
entire 1
entitled 1
environment 1
epilogue 1
especially 2
essence 1
ets 2
evaluate 1
evaluation34 1
every 1
executive 1
experiment 1
explaining 1
extensively 1
fail 1
failure 1
film 1
final 1
finally 1
first 7
for 7
forced 1
forever 1
foreword 1
found 2
four 3
from 5
ganz 1
gathered 1
gerald 1
gibbon 1
goals 4
good 1
great 1
groups 3
grownups 1
had 2
harvard 1
has 2
he 12
head 2
held 1
henson 1
hiding 1
high 1
hiring 1
his 4
history 2
how 2
human 1
humor 3
if 3
ignored 1
importance 1
improve 1
in 17
included 1
includes 1
individuals 1
information 1
initial 1
intentions 1
interested 1
into 1
introduced 1
introduction 1
involved 1
is 4
it 6
its 9
jim 1
joan 1
joe 1
jon 1
l 1
lack 1
large 2
learned 1
learning 1
least34 1
lee 1
lesser 24
lesser3s 1
lesson 1
lessons 1
like 2
liked 1
listened 1
little 1
live 1
liveaction 1
lloyd 1
long 1
longterm 1
loretta 1
made 2
main 1
maintains 1
many 2
marked 1
matt 1
maurice 1
mcgrath 1
medium 1
met 1
methods 1
middle 1
million 2
misgivings 1
months 1
more 1
morrisett 2
most 3
mostly 1
moved 1
muppet 1
muppets 1
music 1
name 2
negative 1
negativity 1
never 1
new 4
next 1
no 1
not 2
notably 1
notebook34 1
nothing 1
november 1
objectives 1
of 30
on 8
opens 1
or 1
origin 2
original 1
outline 1
outreach 1
outside 1
over 1
palmer 2
part 1
particularly 1
parts 1
percent 1
period 1
pertinent 1
philosophy 1
place 1
placed 1
planning 2
poor 2
positive 1
preface 1
premiere 1
preproduction 1
preschool 1
present 1
prince 1
priorities 1
process 1
producer 3
producers 3
production 1
program 1
project 1
projector 2
proposal 1
public 1
purpose 1
puts 1
quote 1
quotes 1
range 1
raposo 1
ratings 1
raucousness 1
reach 1
reaction 1
reactions 1
reasons 1
received 1
recorded 1
recounts 2
recruited 1
regards 1
relates 1
relating 2
remained 1
removed 1
reports 4
research 5
researcher 2
researchers 3
reviews 2
robinson 1
saintexupry 1
sam 1
scattered 1
school 1
script 1
season 2
second 1
seconds 1
section 4
sections 2
seem 1
segments 1
select 1
seminars 2
sendak 1
series 4
serve 1
service 1
sesame 12
set 3
setting 1
show 5
show3s 8
since 1
slapstick 2
slide 1
slides 1
socioeconomic 1
some 1
something 1
spent 2
staff 1
stated 1
states 4
stone 1
street 11
street34 1
studied 2
study 2
studying 1
summarizes 1
summer 1
sustain 2
sustained 1
sweet 1
system 1
systematically 1
teach 3
teaching 2
techniquesincluding 1
televised 1
television 12
television3s 2
testing 2
than 1
that 13
that34 1
the 82
their 2
them 4
themselves 2
there 2
these 2
they 5
things 1
thirty 1
this 2
those 1
three 2
throughout 1
time 3
tiresome 1
to 31
took 1
tool 1
two 1
twoyear 1
unconventional 1
understand 1
unintentional 1
university 1
unprecedented 1
upon 1
urban 1
use 1
used 4
uses 1
using 1
view 1
viewers 2
viewership 1
viewing 1
wanted 1
was 12
watch 1
watched 2
watching 1
we 1
weeks 1
were 8
what 2
when 2
whether 1
which 2
who 3
will 1
wished 1
with 4
without 1
work 1
workshop 1
would 3
writer 2
writers 1
written 2
wrong 1
wrote 1
yet 1
york 1
young 2
