297431
/m/01rg28
/m/01rg28
Fletcher Knebel

170 3
174 1
6th 1
a 27
active 1
actively 1
actual 1
addressing 1
admiral 3
adviser 1
after 1
against 2
aging 1
agree 1
air 1
airliner 1
airport 1
alcoholic 1
alerts 1
all 2
allies 1
allowed 1
ally 1
along 2
also 1
although 1
american 2
among 2
an 3
and 25
any 1
appalled 1
appear 1
approval 1
approved 1
are 3
arguing 1
army 1
arrested 1
arrives 1
art 1
as 3
assured 1
at 2
attach 1
attack 1
aware 1
back 1
barnswell 2
base 4
based 2
bases 1
be 3
becomes 1
before 1
begins 1
behind 1
believe 1
berryville 1
between 2
blackmail 1
bliss 1
boarding 1
both 1
briefs 1
bring 1
broderick 1
brought 1
but 5
by 11
c 1
cabal 1
cabinet 1
california 1
call 2
called 1
can 2
cannot 1
captive 1
case 1
casey 4
charges 1
charismatic 1
chiefs 3
choice 1
christopher 1
cigarette 1
circle 1
city 1
claiming 1
clark 5
close 1
code 1
cohorts 1
cold 1
colonel 3
combat 1
commander 2
communications 1
compromise 1
conference 2
confession 3
conflict 1
confronts 1
congress 1
considers 1
conspiracy 1
conspirator 1
continued 1
continuity 1
control 1
convince 1
copy 1
corps 1
corwin 1
could 1
country 1
coup 3
covertly 1
crash 1
crashes 1
created 1
credibility 1
cruelly 1
date 2
days 1
debate 2
decal 1
deceive 1
decides 2
demands 3
denies 1
denounce 1
deputy 1
destroying 1
destruction 1
detat 1
director 1
disarmament 1
displaying 1
dissatisfaction 1
does 1
ecomcon 1
el 1
electronic 1
ellie 1
embassy 1
emergency 1
ending 1
escape 1
especially 1
everpresent 1
everyone 1
evidence 1
explaining 1
facility 1
fails 1
farley 1
feels 1
ferret 1
film 1
finds 1
first 1
fleet 1
for 1
force 1
forces 1
former 1
fort 1
frederick 1
freely 1
friend 1
from 5
future 1
gains 1
general 4
georgia 1
girard 6
given 1
gives 1
government 1
guilt 1
had 1
handwritten 1
harold 1
has 2
have 2
hawk 1
he 11
headquarters 1
held 1
help 1
hence 1
henderson 3
her 1
him 3
his 8
holbrook 1
holds 1
horse 1
however 1
if 1
implementation 1
in 12
incommunicado 1
influential 1
infrastructure 1
initially 1
inner 1
innocence 1
insider 1
inspection 1
international 1
interrupted 1
into 3
involved 1
involving 1
iran 1
is 13
it 2
james 1
jcs 3
jiggs 2
joint 3
jordan 1
killed 1
kitty 1
known 2
knows 2
korean 1
launches 1
lead 1
leave 1
leaves 2
led 2
letters 2
license 2
line 1
locate 1
long 1
lyman 10
madrid 1
maintained 1
makes 1
map 1
marine 1
martin 1
mattoon 1
may 2
mcpherson 1
media 2
mediterranean 1
members 3
men 1
military 4
mistress 1
moral 1
moscow 1
mount 2
mountain 1
mutt 1
mutual 1
mutually 1
nation 1
nations 1
near 1
need 1
network 1
networks 1
new 1
no 1
not 3
nothing 1
novel 1
nuclear 4
obtain 1
obtained 1
of 25
off 1
office 1
officer 1
officers 1
on 7
oppose 1
opposed 1
opposition 1
or 1
other 3
others 1
out 2
oval 1
own 1
panicking 1
paso 1
passenger 1
paul 1
pentagon 1
people 2
personal 1
personality 1
personally 1
persuades 1
plan 1
plane 1
plate 2
plot 3
plotting 1
pointing 1
political 1
position 2
possession 1
possibility 1
power 1
preakness 1
preemptive 1
prentice 1
president 13
presidential 1
press 1
prevent 1
procedure 1
produces 1
public 2
race 1
radio 2
rages 1
ratification 1
raymond 1
reason 1
reassured 1
registration 1
remove 1
resign 1
resignation 2
responding 1
result 1
scheduled 1
scott 15
secret 5
secretary 1
secretly 1
secrets 1
see 1
seem 1
seized 1
senator 3
send 1
sends 2
service 1
set 1
seven 1
several 1
shelter 1
shocking 1
shortly 1
showdown 1
shows 1
signal 1
signs 1
similar 1
simultaneously 2
site 1
somewhat 1
soviet 2
soviets 2
spain 2
staff 2
stage 1
stakes 1
stalemated 1
states 5
stating 1
stationed 1
stay 1
stick 1
story 1
strike 1
successfully 1
sunday 1
superior 1
support 1
survived 1
taken 1
talk 1
telephone 1
telephones 1
television 2
texas 4
that 8
the 82
their 2
thereafter 1
this 1
three 1
through 1
thunder 1
to 30
todd 1
treason 2
treasury 1
treaty 3
tries 1
trusted 1
unconstitutional 1
uncovers 1
under 2
underground 1
union 2
unit 1
united 5
unmoved 1
us 4
use 1
used 1
using 1
uss 1
vast 1
verbally 1
vice 2
virginia 1
visited 1
vulnerable 1
war 3
washington 1
wave 1
weaken 1
weapons 1
weather 1
when 3
where 1
which 3
while 2
who 5
will 1
with 11
within 1
would 4
written 1
y 1
years 1
york 1
