3403127
/m/099pt6
/m/099pt6
Georgette Heyer
1928
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 17
accepted 1
acquired 1
actually 1
again 1
agrees 1
air 1
alone 2
already 1
an 3
and 27
anthony 12
anthonys 1
any 1
appears 2
arrest 1
arrested 1
arrives 1
as 11
asks 1
at 1
attempt 1
attends 1
authorities 1
away 1
ball 2
barham 5
battle 1
be 3
beautiful 2
beauty 1
becomes 2
been 1
before 1
begins 1
belief 1
blackmail 1
both 1
bride 2
brother 1
but 1
by 10
call 1
calling 1
carry 1
cast 1
causing 1
celebrated 1
challenges 1
circles 1
claim 4
clothes 1
comes 1
company 1
conceived 1
conclusively 1
consents 2
could 2
crosscountry 1
cunning 1
current 1
dazzling 1
deeper 1
description 2
despite 3
deviation 1
dine 1
disappearance 1
disaster 1
discover 1
disguised 1
disguises 1
disparage 1
dispatches 1
disposing 1
document 2
dons 1
drawn 1
dreams 1
dubs 1
duel 2
elevating 1
elopement 3
encounter 1
end 1
escape 2
escorting 1
estates 1
event 1
everything 1
exact 2
exactly 1
exchanged 1
exchanges 1
expose 1
exposure 1
exterior 1
fact 1
fall 1
fallen 1
false 1
fanshawe 1
far 1
father 6
fathers 1
finds 1
flees 1
foiled 1
following 2
for 2
former 1
frame 1
france 2
friend 1
from 4
frustrated 2
future 2
gallop 1
gallows 1
gentleman 9
gentlemans 1
gentlemen 1
gives 1
gown 1
great 2
gregory 1
guessed 1
had 1
hand 1
happily 1
has 3
have 1
having 2
he 9
heir 1
heiress 2
her 20
herself 1
high 2
highwayman 2
hilt 1
him 5
himself 4
his 16
home 1
hour 1
if 1
ill 1
immediately 1
in 9
induces 1
inducted 1
informed 1
informs 1
ingratiate 1
inheritance 1
inspiring 1
intelligence 1
intervention 1
into 2
intrigues 1
introducing 1
invited 2
is 18
it 1
jacobite 1
jacobites 1
kate 4
kidnapping 1
kill 1
knocks 1
known 1
law 2
letitia 10
letitias 1
letter 2
lies 1
london 4
long 2
lord 1
lost 1
love 3
loves 1
man 2
manages 1
manners 1
markham 6
markhams 1
marriots 1
marry 4
masked 1
masquerade 1
massive 1
meanwhile 1
merriot 2
miss 1
more 1
mountain 1
mr 3
much 1
must 1
name 1
named 1
need 1
newly 1
next 1
night 1
now 1
nuisance 1
oblivion 1
observant 2
obtained 1
oddly 1
of 22
off 1
officers 2
old 10
on 6
orchestrated 1
order 3
ousted 1
out 1
outcome 1
over 2
overhearing 1
owing 1
pair 1
patronage 1
peter 5
peters 1
place 1
planned 1
plans 1
presence 1
proceeds 1
promising 1
protect 1
proved 1
proves 1
provides 1
proving 1
prudence 15
questioned 1
quick 1
quite 1
rapidly 1
readily 1
realizes 1
reflects 2
refuses 1
remarks 1
rensley 2
rescuer 1
rescues 1
residence 1
resolved 1
results 1
return 1
returns 1
revealed 1
reveals 1
robin 12
robins 1
run 1
scene 2
scheme 1
sees 1
send 1
sensation 1
she 6
sir 13
sister 3
slowly 1
so 2
society 2
soninlaw 1
spent 1
stands 1
startled 1
status 1
storm 1
subtlety 1
such 1
suggest 1
suspects 1
suspicion 1
sword 1
take 1
takes 1
tall 1
tells 1
than 1
that 14
the 52
their 2
there 1
thereby 1
therein 1
they 2
this 4
threatens 1
thwart 1
time 2
title 1
to 33
together 1
town 1
traitor 1
tremaine 3
truthfully 1
unaccountable 1
under 1
unfortunately 1
unknown 3
unproved 1
until 2
unwittingly 1
vanishes 1
viscount 2
viscounty 1
wait 1
was 2
watching 1
way 1
wed 1
whatever 1
when 2
while 1
who 5
whom 2
will 2
with 6
witted 1
woman 1
wonder 1
woo 1
worthy 1
would 1
wound 1
yet 1
younger 1
youth 1
