14097788
/m/03ctjwv
/m/03ctjwv
Nora Roberts

a 8
about 1
all 2
also 1
and 11
apartment 1
are 3
assistant 1
attacked 1
back 1
badge 1
believes 1
billionaire 1
blame 1
both 1
bowers 3
bring 1
by 2
called 1
can 1
cities 1
city 1
clinic 1
coming 1
crime 1
dallas 2
dead 2
deep 1
delia 1
depression 1
deranged 1
dimatto 1
doctor 1
done 1
dr 1
ellen 2
eve 7
except 1
figure 1
for 1
force 1
four 1
free 1
from 1
give 1
goes 1
going 1
has 1
heart 2
help 1
her 7
his 1
home 1
homeless 1
husband 2
into 1
is 9
jealousy 1
journal 1
killed 2
killer 1
know 1
leads 1
louise 1
lt 1
man 2
motivated 1
murders 1
night 1
no 1
obsessed 1
obsessing 1
obsessively 1
of 4
officer 3
on 2
one 1
only 1
out 2
peabody 2
people 1
placed 1
police 1
preying 1
quickly 1
removed 2
resources 1
roarke 2
run 1
running 1
saintly 1
scene 1
serial 1
she 2
sidewalk 1
skill 1
sleepers 1
solid 1
soon 1
still 1
stripped 1
surgeon 1
terrible 2
that 2
the 8
these 1
things 1
though 2
three 1
time 1
to 2
trouble 1
troy 1
trueheart 1
unfortunately 1
who 1
why 1
with 2
within 1
writes 1
