10014913
/m/02pzvl6
/m/02pzvl6
Roger Zelazny
1979

a 5
about 1
affairs 1
alive 1
an 1
and 9
animated 1
anticipating 1
appearance 1
armor 1
as 1
attempting 1
attempts 1
awaken 1
be 2
believing 1
but 3
by 2
camelot 1
cause 1
centuries 1
centurieslong 1
champion 1
concerns 1
condition 1
confront 1
curse 1
day 1
defeats 1
desist 1
dies 1
drinks 1
elderly 1
elixir 2
end 1
fall 1
fay 2
fighting 1
finally 1
finding 1
finds 1
for 4
from 3
grail 3
great 1
halfmad 1
harm 1
has 4
having 1
he 4
help 1
him 1
his 11
hollow 1
holy 2
immortality 2
in 2
instead 1
intends 1
is 5
kill 1
knight 1
lancelot 11
le 2
learns 1
life 1
long 1
magic 2
man 1
means 1
meddle 1
merlin 10
misguided 1
modern 1
morgana 4
mortally 1
must 2
of 9
own 1
persuade 1
plans 1
present 1
protector 1
punishment 1
rejuvenates 1
remainder 1
remained 1
removes 1
responsible 1
restore 1
retaining 1
right 1
seeking 1
sees 1
since 1
sins 1
skills 1
sleep 1
slept 1
spell 1
spent 1
spirit 2
stopped 1
story 1
strength 1
suit 1
summons 1
survived 1
that 5
the 15
to 9
tries 1
vanquishes 1
vision 1
warns 1
who 2
will 2
with 1
world 2
wounded 1
wrongs 1
youth 1
