2079721
/m/06krj7
/m/06krj7
Nevil Shute

a 5
acquaintance 1
after 1
allows 1
an 4
and 8
apparently 1
are 1
as 1
attempting 1
attempts 1
aware 1
before 1
boat 1
breaks 1
british 1
but 1
by 5
care 1
charges 1
children 2
club 1
commandant 1
concerns 1
condition 1
continually 1
custody 1
discovered 1
elderly 1
enemy 1
england 1
englishman 2
entrusted 2
escape 1
events 1
eventually 1
fact 1
fall 1
final 1
finds 1
fishing 2
forces 1
france 4
fully 1
german 1
germans 1
get 1
goes 1
had 1
hampered 1
he 7
her 1
himself 1
his 4
holiday 1
howard 1
however 1
in 5
invasion 1
is 6
jewish 1
john 1
journey 1
london 1
meets 1
more 2
mother 1
nazi 2
niece 2
occupied 1
occupying 1
of 5
on 3
orphaned 1
out 1
overtaken 1
passage 1
plot 1
relatives 1
return 1
safety 1
second 1
send 1
sidney 1
speed 1
story 1
stranded 1
take 1
tale 1
that 3
the 14
them 2
they 1
to 6
told 1
twist 1
two 1
unexpected 1
usa 1
war 1
while 1
who 1
with 3
world 1
young 1
