32617337
/m/0h5267n
/m/0h5267n
Howard Waldrop
1974
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 16
above 1
across 1
advancing 2
agent 1
agents 1
air 1
alamo 1
albuquerque 1
alert 1
alerted 1
along 1
also 2
ambushes 1
american 1
amphibious 1
an 2
and 12
are 7
area 1
armed 1
armor 3
armored 2
army 1
arrive 1
artillery 1
as 5
assassinate 1
assault 1
assignment 2
at 3
attacked 1
attempts 1
await 1
away 1
back 1
band 1
bean 1
been 1
begin 1
being 2
bottles 1
break 1
briefing 1
brigade 1
brigades 1
brought 1
brown 5
but 4
by 8
canal 1
capital 1
captured 1
car 2
cause 1
celebrates 1
centurions 2
chemical 1
chests 1
chief 1
cia 1
city 3
clairewood 5
cocacola 1
column 4
comes 1
commander 2
commanding 2
conducting 1
contingent 1
convinces 1
cross 1
cruiser 1
crystal 3
cuban 1
dallas 4
dalworthington 1
dam 1
dance 1
deaf 3
defected 1
departs 1
designed 1
despite 1
destroy 2
destroys 1
dispatched 1
draw 1
during 1
dynamite 1
efforts 1
en 1
encounter 1
encountering 1
encounters 1
escape 2
evades 1
faking 1
few 1
fighting 2
fire 2
follow 1
for 3
force 1
forces 3
former 1
fort 5
fowler 2
from 7
further 1
galveston 1
gatling 1
general 3
girlfriend 1
given 1
government 1
guard 1
guarding 1
guided 1
have 1
he 2
heart 1
heavy 3
held 2
hills 1
him 1
his 6
holding 1
horah 1
houston 1
hubbard 1
hurried 1
imported 1
in 6
increased 1
indians 1
infantry 1
inglestein 1
innocent 1
into 4
is 11
island 1
israel 1
israeli 2
its 1
jehovah 1
judge 1
kalan 1
kiburn 2
killed 2
lake 1
land 1
landings 1
lasers 1
lead 3
leads 1
leave 2
light 1
logo 1
longer 1
major 1
makes 1
mallow 2
manufactured 1
masquerading 1
master 1
may 1
meanwhile 2
mercenaries 4
mercenary 1
metro 1
mission 1
mistra 3
mistreatment 1
much 1
myra 6
national 1
near 2
nearly 1
new 2
no 1
now 1
nuclear 1
of 13
office 1
officer 2
on 5
one 2
only 2
ordered 1
over 1
padre 1
painted 1
parallel 1
part 2
patrol 1
pittsburgh 1
planes 1
playing 1
point 1
position 1
powered 1
preparations 1
president 3
pressure 1
prison 2
promised 1
push 2
ray 1
reactors 1
red 1
refuel 1
remaining 4
rescue 1
rescued 1
resistance 1
returns 1
river 2
route 2
roy 1
sabotage 1
scouting 1
separated 1
separately 1
sergeant 1
she 1
ship 1
shortly 1
shot 1
side 1
sights 1
simultaneously 1
sinks 1
smith 3
sol 12
soldiers 1
sons 1
source 1
south 2
splevins 1
squad 1
squadron 3
states 2
strike 1
struck 1
take 1
tank 4
tanks 4
texan 10
texans 2
texarkana 1
texas 3
that 2
the 43
their 4
them 1
then 1
thereafter 1
they 11
this 2
to 15
tornado 1
tortured 1
towards 2
try 1
unannounced 1
under 1
union 3
united 2
units 1
until 1
up 1
ushered 1
veteran 1
vietnam 1
volkswagen 1
wait 1
warns 1
way 1
weapons 1
when 1
where 3
which 1
while 1
who 2
will 3
william 1
wilson 2
with 5
wrath 1
