1030384
/m/03_t4h
/m/03_t4h
Robin Cook

100000 1
23yearold 1
30s 1
8 1
a 13
after 2
alive 1
all 1
along 1
also 1
an 4
and 14
anesthesia 1
antagonist 1
appendix 1
are 8
arrested 1
as 4
at 5
attractive 1
attributed 1
baffled 1
became 1
been 1
behind 1
bellows 3
berman 2
black 1
book 1
boston 3
brain 3
brief 1
but 2
by 5
call 1
carbon 2
care 1
cause 1
ceiling 1
chief 1
choice 1
coma 2
comas 2
comatose 1
comes 1
complete 1
complications 1
condition 1
confronts 1
consciousness 1
consent 1
costs 1
cut 1
dead 1
death 1
decides 1
declared 1
department 1
designed 1
despite 1
details 1
develops 1
did 1
dilemmas 1
disable 1
discovers 1
discusses 1
dose 1
doubt 1
down 1
drugs 1
due 1
during 3
end 1
evading 1
events 1
faced 1
facility 1
failed 1
fate 1
findings 2
finds 1
for 3
four 1
from 2
full 1
further 1
geoffrey 1
glass 1
good 1
greenly 2
group 1
hailed 1
harvey 1
has 1
health 1
healthy 1
heavy 1
hence 1
her 5
here 1
higher 1
highlighted 1
him 1
hired 1
his 1
hospital 4
howard 1
however 2
human 1
icus 1
immediately 1
in 10
incidents 1
inner 1
institute 3
instructor 1
intending 1
intensive 1
intimate 1
into 2
investigate 1
involvement 1
is 10
jefferson 1
journey 1
kept 1
kill 1
knee 1
led 1
left 1
line 2
little 1
main 1
making 1
man 3
manages 1
mark 1
market 1
medical 2
medically 1
memorial 3
monoxide 2
moved 1
mysteriously 1
mystery 1
nancy 2
not 1
notations 1
novel 1
occurrences 1
odds 2
of 12
on 3
one 1
operating 1
operation 4
operations 1
or 1
organ 2
other 2
over 1
oxygen 3
patients 6
paultakes 1
peculiar 1
physical 1
poisoning 2
posttreatment 1
pretext 1
preventing 1
problems 1
profession 1
protagonist 1
pursuit 1
put 1
receive 1
recent 1
referred 1
regain 1
relationship 1
removed 1
resident 1
resolutely 1
revealed 1
room 3
rooms 2
rotation 1
rounds 1
same 1
samples 1
scheduled 1
sean 3
seemed 1
she 2
similarly 1
socalled 1
sold 1
stark 3
story 1
student 1
students 1
studentsgeorge 1
success 1
such 2
sufficient 1
supervisor 1
surgeries 1
surgery 5
surgical 1
surgically 1
susan 9
suspended 1
tampered 1
that 1
the 30
their 3
then 2
there 1
thereby 1
these 4
thirdyear 1
this 1
threemonth 1
time 1
to 14
trainee 1
two 2
under 1
underwent 1
unraveling 1
until 1
vegetables 1
victims 1
walled 1
went 1
were 1
wheeler 1
when 1
who 2
wires 1
with 5
within 1
without 1
woman 1
working 1
workings 1
young 1
