952433
/m/03swny
/m/03swny
Brian Herbert
2002-09-17
a 10
about 2
accepts 1
after 1
against 1
agamemnon 1
all 2
an 5
ancient 1
and 25
another 1
are 7
army 1
arrakis 1
artificial 1
as 4
atomics 1
atreides 4
atreus 1
attack 1
aurelius 1
baby 1
barbarossa 1
be 2
become 1
been 1
begins 1
betrays 1
between 1
birth 1
bodies 1
boy 1
brains 1
break 1
breeding 1
brutal 1
but 1
butler 1
butlerian 2
by 5
calling 1
can 1
canisters 1
capital 1
captured 1
cenva 1
chaos 1
characters 1
child 1
complacent 1
completely 1
conquer 1
conquered 1
corrinos 1
create 1
current 1
cymek 1
cymeks 3
daughter 1
dependency 1
desert 1
design 1
desperate 1
destroy 1
destruction 1
destructive 1
determined 1
diminutive 1
discover 1
distraction 1
does 1
earth 3
employ 1
entail 1
entire 1
epic 1
erasmus 4
event 1
exploiting 1
extend 1
families 1
famous 1
father 1
fearsome 1
finds 1
first 2
flees 1
for 3
force 1
former 1
free 1
from 3
front 1
future 1
generals 1
generation 1
genius 1
ginjo 1
gives 1
god 1
grand 1
greek 1
had 1
harkonnen 1
harkonnens 1
have 1
he 1
her 4
his 7
holtzman 1
holy 1
house 1
human 5
humanity 2
humans 2
iblis 2
ignited 1
iliad 1
implanted 1
in 5
incites 1
inconvenient 1
indefinitely 1
independent 1
innocent 1
installed 1
intelligence 1
interesting 1
into 2
introduces 1
inventor 1
ironically 1
is 8
it 1
its 1
jihad 5
joined 1
kills 1
known 1
labelled 1
last 1
later 3
leader 1
leaders 1
leading 1
leads 1
league 2
learning 1
legend 1
lie 1
liking 1
lives 2
lonely 1
machine 5
machines 3
magnate 1
maintaining 1
make 1
makes 1
manion 3
mankind 1
martyr 1
masterminds 1
masters 2
matriarchal 1
may 1
meanwhile 1
mechanical 1
melange 1
methods 1
military 1
mission 1
more 1
most 1
murder 1
name 1
names 1
nearly 1
new 1
nobles 1
norma 1
not 1
now 1
of 22
often 1
omnius 5
on 5
once 1
only 1
order 2
original 1
originates 1
outcast 1
overthrown 1
own 1
paramour 1
patriarch 1
pens 1
perfecting 1
pharmaceutical 1
planet 2
powerful 1
powers 1
pregnant 1
preservation 1
priestess 1
program 1
psychic 1
put 1
realizes 1
realizing 1
rebellion 3
reliance 1
religious 1
removes 1
repelling 1
replace 1
robot 1
rossak 1
salusa 1
save 1
secundus 1
seeds 1
seeking 1
seeks 1
sees 1
selim 1
serena 7
shaihulud 1
she 2
significant 1
single 1
slave 2
so 1
socalled 1
son 2
soon 1
sorceresses 1
sown 1
spice 2
story 1
strong 1
study 1
subordinate 1
substance 1
superior 1
synchronized 1
take 1
takes 1
technomisanthropic 1
telepaths 1
that 1
the 50
their 5
them 1
themselves 2
they 1
thinking 1
this 2
those 1
thus 1
tio 1
titan 2
titans 3
to 11
torture 1
tribe 1
truly 1
trustee 2
turn 1
twenty 1
two 1
under 1
understand 1
universe 2
unstoppable 1
use 1
using 1
uterus 1
variety 1
venport 1
viceroy 1
victory 1
vivisection 1
voice 1
vorian 4
wage 1
war 2
watch 1
were 1
which 1
who 4
whom 1
whose 3
will 1
wish 1
with 5
world 1
wormrider 1
would 1
xavier 4
yet 1
young 3
