13091612
/m/02z647h
/m/02z647h
Judy Blundell

{"/m/06n90": "Science Fiction"}
a 14
about 1
academy 1
accepting 1
accepts 2
adept 1
adepts 2
advanced 1
after 2
again 1
alderaan 3
almost 1
also 3
always 1
amie 2
and 26
anger 2
answers 1
antin 1
arbor 1
are 1
arranges 1
as 3
asks 2
astri 2
at 5
attend 1
back 3
battleground 1
be 4
because 6
been 3
before 3
belief 1
believes 3
belonged 1
blame 1
bog 2
born 1
boy 1
brighter 1
but 6
by 4
calls 1
can 4
captured 1
caught 1
certain 1
charge 1
choice 1
class 1
clive 2
clone 1
closest 1
consideration 1
contact 2
contrary 1
coruscant 1
cousin 1
created 1
dad 1
dark 1
darth 1
death 2
decides 1
decimated 2
defeating 1
destroyed 1
destroys 1
did 2
dismissing 1
distract 1
distraction 1
divinian 1
does 6
down 1
during 2
eleven 1
emperor 3
empire 4
end 1
enlisted 1
enough 1
erase 2
erased 2
esagainst 1
escape 2
escapes 1
evil 1
experiments 1
face 1
facility 3
fact 1
family 1
fate 1
feels 1
ferus 12
fight 2
file 2
find 1
finding 1
finds 1
first 2
flame 1
flax 1
flow 1
flume 1
for 4
force 5
form 1
former 1
formerly 1
found 1
from 1
future 1
fytorana 1
get 5
gets 2
girl 2
give 1
go 2
goes 1
going 1
good 1
greedy 1
grief 1
grows 1
had 1
has 8
hatred 1
have 3
he 29
head 2
heart 1
heartbroken 1
help 1
helps 1
her 5
hes 1
high 1
him 16
his 12
homeworld 1
hydra 1
identity 1
ignores 1
immediately 1
importance 1
in 11
information 1
injured 1
inquisitor 1
inside 1
instead 1
instructed 1
instructor 1
into 1
investigate 1
is 13
isnt 1
it 3
jedi 1
jenna 1
job 3
keeps 1
key 1
kill 1
killed 2
know 1
known 1
landed 1
large 1
last 1
leader 1
learned 2
learns 1
leave 1
leaves 1
left 1
leia 1
lesson 1
let 1
lets 1
lightsaber 1
like 2
list 1
little 2
lives 1
look 1
looking 1
lune 6
lunes 1
maggis 1
make 1
makes 1
malorum 1
may 1
medical 2
meets 1
memories 2
memory 1
met 1
mission 1
mother 2
much 2
naturally 1
naval 1
need 1
new 1
not 7
obiwan 4
oddo 1
of 14
off 1
offers 1
olin 2
on 7
once 1
one 1
ones 1
only 3
or 1
order 2
others 1
out 2
over 1
overtaken 1
own 1
padme 2
pain 1
palpatine 1
personal 1
plan 1
planet 1
planets 1
pockets 1
possible 2
power 1
pretend 1
price 1
probably 1
process 1
promised 1
promising 1
promoted 1
put 1
rebellion 1
rebels 1
releasing 1
report 3
rescued 1
resistance 1
returns 1
revenge 1
roan 4
room 2
rygaul 1
said 1
same 1
save 1
scientist 1
scream 1
see 1
seen 1
sent 1
she 8
sick 1
side 1
so 1
solace 1
some 3
strike 1
strong 1
subject 1
subjects 1
successfully 1
take 1
taken 3
takes 1
teach 1
team 1
tell 2
tells 1
terrible 1
test 1
that 9
the 43
their 2
them 2
there 2
they 3
thing 1
things 1
thinks 1
this 5
through 2
time 1
to 33
took 2
transferred 1
trevor 3
true 1
trust 1
trying 1
turned 1
turns 1
ultimately 1
undercover 1
understand 1
unless 1
used 2
vader 6
vaders 1
ventures 1
wait 1
want 1
wants 2
wars 1
was 12
waste 1
watch 1
way 1
ways 1
well 1
which 3
wil 1
will 1
with 4
wont 1
work 1
would 1
zan 1
zanabor 1
zanarbor 1
