2750461
/m/080qdw
/m/080qdw
Meindert DeJong
1954
a 3
across 1
aided 1
all 2
an 2
and 13
are 5
asks 1
auka 2
aunt 2
average 1
awkward 1
begin 1
beverly 1
biggest 1
boy 1
by 1
cannot 1
characters 1
children 5
class 1
come 1
compelling 1
dedication 1
difficult 1
dirk 1
discover 1
douwa 1
dreams 1
during 1
each 1
eelka 1
encourages 1
essay 1
evert 1
fat 1
fathers 1
find 2
finding 1
fingers 1
fishermen 1
fishing 1
flying 1
for 2
from 1
girl 1
give 1
grandmother 1
happen 1
homes 1
if 1
iii 1
in 5
include 1
inseparable 1
interesting 1
is 2
jan 1
jana 1
janus 2
jella 1
kids 1
legless 1
lina 5
linda 1
lives 1
living 1
man 2
meet 1
mothers 1
my 1
nes 1
nest 2
nieces 1
no 1
of 6
old 1
on 3
one 1
only 1
other 1
out 1
people 1
personalities 1
pier 1
pitched 1
place 1
placing 1
plot 1
proves 1
reads 1
ridge 1
ridges 1
roof 1
roofs 1
school 3
schoolchildren 1
search 1
sendak 1
several 1
sharp 1
she 1
shirley 1
shora 1
sibble 1
siblings 1
simple 1
six 2
small 2
so 1
space 1
steeply 1
storks 3
task 1
teacher 2
teaches 1
that 4
the 23
their 4
themselves 1
there 1
these 1
they 1
things 1
think 1
this 1
tin 1
tiny 1
to 5
true 1
twins 1
village 4
wagon 2
wheel 2
when 1
who 3
why 2
wife 1
will 2
wonder 1
would 1
writes 1
yet 1
younger 1
