9633999
/m/02pmlpg
/m/02pmlpg
Colleen McCullough
1996
{"/m/02p0szs": "Historical fiction"}
5 1
60 1
62 1
63 1
6858 1
a 1
aedileship 1
affair 1
and 7
as 2
aurelia 1
bc 5
betrothal 1
blocking 1
boni 1
by 2
caesar 6
calpurnia 1
campaigns 1
cato 1
climbing 1
close 1
closes 1
come 1
concerned 1
conflict 1
conservative 1
consulship 1
crassus 1
creation 1
curule 1
daughter 2
departure 1
divorce 2
does 1
during 1
each 1
early 1
election 2
enemies 1
epochal 1
faction 1
field 1
first 3
for 1
formed 1
from 3
further 1
gallic 1
gnaeus 1
government 1
governorship 1
hailed 1
he 1
his 20
however 1
imperator 1
in 6
include 1
interval 1
into 1
is 2
it 1
julia 1
julius 1
ladder 2
lengthy 1
licinius 1
magnus 1
mainly 1
many 1
marcus 2
marriage 3
maximus 1
moments 1
most 1
mother 1
narrow 1
novel 1
of 8
on 2
opens 1
outmaneuvering 1
parade 1
pivotal 1
play 1
plot 1
political 2
pompeia 2
pompeius 1
pompey 1
pontifex 1
porcius 1
post 1
power 1
praetorship 1
quaestorship 1
reflecting 1
relationship 1
remarriage 1
returning 1
rise 1
roman 1
rome 1
servilia 1
set 1
some 1
spain 2
spent 1
struggles 1
tenyear 1
the 14
time 1
title 1
to 5
triumphal 1
triumvirate 1
troops 1
was 1
which 2
with 7
