18179814
/m/04crgx_
/m/04crgx_
Deborah Wiles
2002
{"/m/0dwly": "Children's literature"}
164 1
a 4
about 1
allowed 1
and 2
are 4
arrive 1
as 2
at 1
because 3
been 3
before 1
best 1
black 3
blacks 2
book 2
boys 3
but 1
can 3
cannot 1
close 1
closed 1
creek 1
day 1
desegregation 1
did 1
disappointed 1
disgusting 1
do 3
down 2
during 1
ends 1
entering 1
entire 2
ever 1
everything 2
excited 2
filled 1
following 1
for 2
friends 1
go 1
grocery 1
has 3
have 1
he 2
heavily 1
henry 2
in 5
instead 1
is 6
it 1
joe 2
john 2
law 1
lives 1
means 1
mississippi 1
more 1
no 1
not 2
of 3
only 1
own 1
passed 1
people 3
pool 7
previously 1
public 1
rather 1
really 1
set 1
sharing 1
shock 1
so 1
south 1
sticky 1
store 1
such 1
summer 2
swim 1
swimming 2
tar 1
than 1
that 4
the 16
their 1
them 2
then 1
these 1
they 6
this 1
to 3
together 2
told 1
tomorrow 1
town 4
turned 1
two 2
use 1
voting 1
want 1
was 1
when 1
which 1
white 2
whites 2
with 4
would 1
