21116901
/m/05b_5p5
/m/05b_5p5
Tim Bowler
1997-10-09
a 11
about 1
advice 1
after 2
against 1
and 6
artist 1
as 2
before 1
being 1
best 1
both 1
boy 7
called 1
cantankerous 1
challenges 1
child 1
cope 1
dedicated 1
desperately 1
died 1
disappearing 1
dive 1
does 1
dotes 1
down 1
dying 1
eventually 1
everyone 1
expectations 1
exploring 1
falls 1
feels 1
fiercely 1
fifteenyearold 1
finally 1
finish 2
finished 1
for 1
forty 1
from 2
gives 1
gone 1
grandfather 5
has 2
haunting 1
he 6
hearing 1
help 1
her 10
him 4
his 2
ill 1
important 1
in 3
independent 1
insists 1
into 1
is 5
isolated 1
jess 5
join 1
knowledge 1
landscape 2
last 1
leads 1
learns 1
leaving 1
lived 1
meets 1
met 1
miles 1
mouth 1
must 1
mysterious 1
now 3
of 3
on 2
over 1
painting 4
peacefully 1
portrait 1
presence 1
realizes 1
refuses 1
return 1
returning 1
revelation 1
river 6
saying 1
sea 1
sees 1
selfportrait 1
she 7
so 1
some 1
soon 1
source 1
stay 1
strange 1
sudden 1
surprising 1
swimmer 1
swimming 1
swims 1
that 4
the 17
then 1
there 1
to 9
trying 1
valley 2
waiting 1
watches 1
waterfall 1
when 2
where 2
which 1
while 1
with 2
