30012858
/m/0fqt2ff
/m/0fqt2ff
Rosemary Sutcliff


a 1
accidentally 1
ailln 1
and 10
are 1
art 1
arthurian 1
as 1
associated 1
begins 1
birth 2
boy 1
by 3
cath 1
chapters 1
characters 1
circle 1
cormac 1
court 1
courtship 1
covering 1
cumhal 3
cycle 1
dacker 1
defeating 1
defense 1
diarmuid 1
downfall 1
eces 1
encounters 1
ending 1
explanation 1
fair 1
fairy 1
father 2
fenian 1
fianna 5
finn 5
flees 1
folk 1
for 1
force 1
formation 1
gabhra 1
gaining 1
giolla 1
give 1
golden 1
goll 2
grainne 1
grows 1
hair 1
haunts 1
him 1
his 1
in 2
include 1
ireland 1
is 1
killed 1
knowledge 1
leadership 2
led 1
loyalty 1
mac 3
magical 1
manner 1
many 1
midgna 1
morna 1
most 1
muirne 1
multiple 1
nearly 1
niamh 1
novel 2
of 15
oisn 1
originally 1
over 1
poet 1
powers 1
regaining 1
rules 1
sadhbh 1
salmon 1
similar 1
some 1
standalone 1
stories 1
story 1
strong 1
studies 1
successfully 1
sutcliff 1
swears 1
sword 1
takes 1
tales 2
tara 1
tasting 1
that 1
the 24
thereafter 1
thereby 1
these 1
this 1
to 4
ultimately 2
under 1
up 1
was 1
which 1
who 1
wife 1
with 4
