2704564
/m/07z23l
/m/07z23l
Frederick Forsyth
1979
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 10
able 2
about 2
access 1
adam 1
after 2
against 2
agent 1
airliner 1
ally 1
alternative 1
an 3
and 12
andrew 1
angloukrainian 1
appear 1
are 2
arrested 1
at 1
aware 1
be 3
because 1
before 1
being 1
berlin 1
betrayed 1
black 1
blow 1
both 1
british 3
by 5
can 1
cancer 1
castaway 2
catastrophe 2
chain 1
chairman 1
chief 3
coastal 1
come 1
comes 1
complicate 1
concessions 2
convinces 1
countries 1
crisis 1
crop 1
david 1
dead 1
death 1
debates 1
devil 1
devizes 1
different 1
discovery 1
down 1
drake 6
during 1
dying 1
ecological 2
enables 1
ending 1
escape 1
escaped 1
europe 2
exchange 1
faction 1
failures 1
favor 1
food 2
for 4
freedom 1
from 3
fungicide 1
gains 1
grain 1
hardliners 1
has 2
have 1
he 1
help 3
hijack 3
him 1
his 1
hospital 1
however 1
if 1
in 9
inadvertent 1
information 2
intelligence 1
invading 1
is 7
it 1
its 1
kaminsky 3
kgb 4
killed 1
killing 1
kremlin 1
landing 1
lazareff 4
leadership 1
led 2
lev 1
makes 1
man 1
matter 1
matthews 1
maxim 1
may 1
meanwhile 1
military 2
miroslav 1
mishkin 4
munro 2
narrowly 1
nationalist 1
nationalists 1
negotiations 1
news 1
of 16
offices 1
oil 1
oiltanker 1
one 1
only 3
opens 1
option 1
options 1
or 1
origin 1
other 1
pilots 1
plan 2
plans 1
plant 1
poisoning 1
politburo 4
political 2
president 1
prisoners 3
receives 1
records 1
recovering 1
regarding 1
release 1
released 2
request 1
reveal 2
rudin 3
russian 2
sea 1
sell 1
shakes 1
shot 1
should 1
situation 1
so 1
soviet 2
soviets 1
start 1
states 1
stop 1
story 1
strategy 1
strike 1
supertanker 1
support 1
supremacy 1
take 1
tells 1
that 5
the 43
them 2
there 1
they 4
third 1
this 2
threatened 1
through 1
thus 1
time 1
title 1
to 13
truth 1
turkey 1
two 2
ukraine 1
ukrainian 3
union 2
united 1
up 1
us 2
ussr 2
visited 1
votes 1
wants 1
war 4
was 1
west 2
western 2
westerners 1
wheat 2
which 1
who 3
will 2
with 3
without 1
woman 1
works 1
