17725250
/m/047gbv7
/m/047gbv7
Parke Godwin
1988
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 8
able 2
accident 1
adults 1
advanced 1
alien 1
all 1
american 1
amounts 1
an 4
and 4
apart 1
ardently 1
are 2
at 1
barion 1
be 1
bear 1
begins 1
belief 1
between 1
beyond 1
blossoming 1
brothers 6
but 1
by 1
cause 1
causing 1
changes 1
charity 1
child 1
civilization 1
collegeage 1
control 1
could 1
couple 1
courtship 1
coyul 1
creation 1
culture 1
danger 1
darkness 1
decipher 1
despondent 1
destructive 1
dim 1
due 1
duo 1
earth 2
emotion 1
endow 1
endowed 1
eons 1
eventually 2
evolutionary 1
exploited 1
fact 1
fascist 1
fond 1
for 1
free 1
from 1
grow 2
has 1
have 1
hell 1
hitler 1
hope 1
human 3
humanity 1
humans 2
if 1
immense 1
in 3
incessantly 1
indigenous 1
insatiable 1
intellect 1
intervening 1
is 7
it 1
itself 1
keep 1
later 1
lead 1
leads 1
life 1
literally 1
manipulate 1
marry 1
matter 1
meaning 1
members 1
memory 1
minds 1
monitor 1
more 1
necessary 1
need 1
never 1
no 1
oblivious 1
of 9
on 1
outrageous 1
passionately 1
permanent 1
physical 1
poised 1
possibly 2
power 2
primal 1
primates 1
progress 1
project 1
put 1
race 2
religious 1
rescue 1
rid 1
roy 1
scenarios 1
schism 1
schizophrenia 1
series 1
she 1
small 1
spiritual 1
stovall 1
strands 1
stride 1
stubborn 1
subjecting 1
subsequently 1
systems 1
tale 1
termed 1
than 1
that 1
the 17
their 5
them 3
they 5
thirst 1
through 1
time 2
to 13
town 1
two 2
unlikely 1
violence 1
violent 1
were 1
when 1
which 6
with 5
woman 1
world 1
young 4
