2880529
/m/088s9b
/m/088s9b
Barbara Gowdy

a 7
acknowledges 1
adopted 2
adoptive 1
after 1
alienated 1
all 1
an 2
and 10
animals 1
another 2
any 1
are 4
as 3
be 2
becoming 1
bed 2
been 1
before 1
best 1
blessed 1
bone 2
bulls 1
but 1
calf 1
can 1
capable 1
characters 3
come 1
commentary 1
common 1
considered 1
cow 1
cows 1
date 2
dead 1
detail 1
direction 1
do 1
drought 2
elephant 3
elephants 7
endangered 1
entirely 1
events 1
eventually 1
ever 1
every 1
exceptions 1
fact 1
family 6
feels 1
female 1
few 1
find 2
first 1
forgets 1
friend 1
from 3
future 1
go 1
groups 1
has 1
hence 1
her 3
hopeless 1
human 1
humans 1
implies 1
importance 1
important 1
in 4
increasingly 1
into 3
is 10
it 2
its 1
killed 1
leaves 1
legendary 1
like 1
live 1
lives 1
loners 1
lying 1
main 2
male 1
males 1
matrilineal 1
mature 1
member 1
minute 1
missing 1
most 3
mostly 1
much 1
mud 6
must 1
never 1
newborn 1
nihilistic 1
not 1
novel 6
occasionally 1
of 13
off 1
old 1
on 1
other 1
place 3
plight 1
poachers 2
point 1
points 1
possible 1
powerful 1
powers 1
pregnant 1
prepubescent 1
prime 1
rather 1
reach 1
real 1
remaining 1
remember 1
remembering 1
rib 1
rumored 1
safe 3
said 1
savannah 1
saying 2
see 1
senile 1
set 1
shes 3
showing 1
situation 1
slaughter 1
social 1
somewhat 1
somewhere 1
strongly 1
tend 1
that 3
the 27
their 3
theme 2
throughout 1
thrown 1
ties 1
to 5
told 1
true 1
unlike 1
unlikely 1
usually 1
view 1
visionary 1
where 1
which 2
white 2
who 2
will 1
with 4
young 1
