14661776
/m/03gs7lq
/m/03gs7lq
Reginald Hill

a 2
agents 1
an 1
and 2
apparent 1
arms 1
as 1
begins 1
businessman 1
case 1
chicanery 1
circumstances 1
copycat 1
corporate 1
dalziel 1
develops 1
earlier 1
family 1
father 1
government 1
has 1
himself 2
his 1
however 1
in 1
into 2
investigation 1
involves 1
involving 1
iraq 1
killed 1
local 1
maciver 1
more 1
nature 1
of 4
pal 1
palinurus 1
pascoe 1
plot 1
revealing 1
routine 1
secrets 1
shot 1
similar 1
sinister 1
something 1
soon 1
suicide 2
ten 1
the 3
those 1
to 1
trade 1
what 1
who 2
years 1
