21364710
/m/05f847_
/m/05f847_
Lois McMaster Bujold
2009-01-27
{"/m/01hmnh": "Fantasy"}
a 10
achieved 1
aid 1
aided 1
an 1
and 7
answer 1
are 1
arise 1
arkady 1
as 1
at 2
be 4
before 1
beginning 1
being 1
berry 2
between 2
book 1
brother 1
but 1
by 4
camp 1
characters 1
closer 1
conflicts 1
cooperation 1
could 1
cutoff 1
dag 4
determination 1
embark 1
encounter 1
end 1
even 1
ever 1
evil 1
farmer 2
farmers 2
fawn 6
fleeing 1
for 1
great 1
groundsetter 2
guesses 1
has 1
healer 1
his 2
including 1
insular 1
is 3
joined 1
journey 1
killed 2
kills 1
knife 1
lakewalker 4
lakewalkers 1
local 1
long 2
malice 6
moon 1
more 1
new 1
of 2
on 2
other 1
others 1
out 2
partners 1
power 1
powerful 2
prayers 1
prompting 1
road 1
second 1
seeks 1
several 1
sharing 1
some 2
something 1
teacher 1
that 3
the 7
their 1
they 2
this 1
to 4
trace 1
traditions 1
turns 1
understanding 1
unprecedentedno 1
up 1
vision 1
wagon 2
was 1
way 1
which 1
whit 2
wife 1
with 3
without 1
