3456121
/m/09dd91
/m/09dd91
Joseph Hergesheimer

15 1
18 2
45 1
a 21
able 1
aborted 1
about 3
abroad 1
absentee 1
accepts 1
adding 1
admires 1
adolescent 1
after 3
again 1
against 1
age 4
ageing 1
alone 1
already 1
also 1
although 1
always 2
an 3
and 22
announces 1
another 1
any 2
approached 1
are 1
arnaud 3
artificial 1
as 4
at 7
atmosphere 1
attending 1
attraction 1
aunt 1
aunts 1
bachelor 1
be 1
beauty 2
because 2
becomes 1
been 1
before 1
behaviour 1
being 2
believes 1
best 1
betrayal 1
between 1
books 1
both 2
boyfriend 1
branch 1
brought 1
but 1
by 7
called 1
caught 1
certainly 1
change 1
charm 1
childhood 1
children 3
claims 1
collegeeducated 1
compensating 1
concert 1
condon 4
confirmed 1
consents 1
considered 1
considering 1
continue 1
convenience 1
could 2
created 1
curious 1
daughter 4
daughters 1
day 2
days 1
dead 1
death 1
decides 1
decision 2
decisive 1
denies 1
descent 1
despite 1
destroyed 1
different 1
direction 1
dodge 1
does 2
dollars 1
dubious 1
dyeing 1
early 2
ease 1
education 1
eligible 1
end 1
endless 1
entire 1
especially 1
estrangement 1
even 1
eventually 1
ever 1
everincreasing 1
experienced 1
experiences 1
explains 1
fact 1
fading 1
falls 1
family 1
fascinated 1
father 5
feels 2
feldt 4
finding 1
first 1
following 1
follows 1
footsteps 1
for 4
formal 1
frequently 1
from 5
frozen 1
fruitless 1
gain 1
gets 1
getting 2
girl 3
go 3
goes 1
going 1
grandmother 1
grieving 1
guests 1
had 1
hair 1
hallet 5
happiness 1
hardly 1
has 9
have 3
he 2
her 42
herself 4
him 3
his 5
hotel 1
hotels 2
house 1
how 1
however 2
hundred 1
husband 1
if 1
imagines 1
immediately 2
immortality 1
in 13
inadequate 1
indefinite 1
information 1
inherited 1
intended 1
intention 1
into 1
introduced 1
invitation 1
is 14
it 1
itinerant 1
jewish 1
judith 1
just 1
kiss 1
knowledge 1
late 1
later 2
launched 1
law 1
lawyer 1
leads 1
learn 1
learns 1
leaves 1
life 5
like 1
linda 15
little 1
live 3
lobby 1
long 1
looking 1
lost 1
lot 1
love 2
lowrie 4
loyal 1
man 2
mansion 1
many 1
markue 1
marriage 1
married 2
marries 1
marry 1
maternal 1
maybe 2
mean 1
meets 1
men 2
millionaire 1
mistakes 1
more 3
morning 1
moses 1
mother 7
moved 1
muse 1
naturally 1
nephew 1
never 3
new 3
next 1
night 2
no 1
noon 1
not 4
novel 1
now 1
of 19
old 1
on 2
once 1
one 1
only 1
onset 1
or 2
other 1
out 1
over 2
own 1
palacelike 1
party 1
pass 1
past 1
paternal 1
perfect 1
period 1
philadelphia 2
phony 1
piano 1
picked 1
platonic 1
play 2
pleydon 7
probably 1
propose 1
public 1
radiant 1
raised 2
reading 1
realizes 3
receives 1
recognized 1
regions 1
regrets 1
remembering 1
repeat 1
replaced 1
reputation 1
returns 1
room 1
sculptor 2
seemingly 1
sees 1
selfmade 1
senior 1
sense 1
seven 1
several 1
shallow 1
she 23
sickly 1
single 1
sister 2
so 1
society 1
solace 1
something 1
son 1
spends 1
spent 1
starts 1
states 1
statue 1
stay 2
stella 3
struggle 1
student 1
studio 1
subdued 1
succession 1
suddenly 1
suffragette 1
suitor 1
superficial 1
sympathy 1
taken 1
takes 1
taking 1
telling 1
than 1
that 8
the 21
their 2
there 2
thousand 1
three 1
through 2
time 2
to 20
together 2
twenties 1
twenty 1
two 3
unhappy 1
united 1
university 1
until 1
up 2
vanishing 1
various 1
vicarious 1
vign 3
visit 1
was 1
way 1
were 1
when 4
where 1
which 1
while 4
who 8
whose 2
widower 1
wife 1
with 9
without 5
word 1
would 1
year 1
yearold 1
years 6
yet 1
york 2
young 2
youth 1
