16722252
/m/040468b
/m/040468b
Sinclair Lewis
1947
a 5
able 1
admits 1
african 1
after 1
against 1
american 1
and 4
as 2
background 1
begins 1
between 1
black 2
choose 1
class 1
climax 1
comes 2
community 3
continuing 1
descent 1
despite 1
discovers 1
down 1
engages 1
evict 1
existence 2
family 1
features 1
forced 1
friends 1
from 1
he 6
heritage 1
himself 1
his 4
hollow 1
house 1
in 4
is 3
kingsblood 1
lack 1
man 1
middle 1
minority 1
mob 1
neil 2
news 1
novel 1
now 1
of 4
oppressed 1
partly 1
prevalent 1
protagonist 1
quickly 1
quixotic 1
racial 1
racism 1
researching 1
see 1
sees 1
several 1
spreads 1
stand 1
struggle 1
suburb 1
that 1
the 9
them 1
then 1
to 5
what 1
when 1
while 1
white 4
