2428167
/m/07cbs1
/m/07cbs1
Walter Scott
1820
a 14
abbey 1
abbot 2
abdication 1
accompanied 3
adam 1
adherents 2
adieu 1
adjourned 1
admirer 1
adopted 2
afloat 1
after 1
afterwards 1
aid 1
aided 1
alarm 1
all 1
also 1
ambrose 2
an 3
and 24
armour 1
arranged 1
array 1
arrival 1
arrived 1
as 6
assist 1
at 4
attached 2
attacked 1
attempted 1
attendance 1
attire 1
avenel 3
back 1
battle 3
be 4
been 3
before 2
behest 1
believe 1
believed 1
between 1
bid 1
birth 1
boat 1
boy 1
but 1
by 14
came 1
capital 1
castle 3
catherine 5
chaplain 1
churl 1
claim 1
close 1
commanded 1
company 1
completely 1
compliance 1
conflict 1
considerable 1
contained 1
contrived 1
convert 1
council 1
curfew 1
daybreak 1
declared 1
desired 1
desperate 1
devoted 1
dirk 1
disguised 1
disliked 1
dismissed 1
dog 1
douglas 4
drowning 1
dumbarton 1
during 2
earl 1
edinburgh 1
elizabeth 1
emerged 1
endeavouring 1
england 1
ensued 1
entrusted 1
ere 1
escape 1
events 1
evicted 1
expected 1
expired 1
eyes 1
face 1
failed 1
faith 1
falconer 1
false 1
fatal 1
father 2
final 1
flank 1
followers 1
for 5
forces 1
forge 1
forged 1
fortune 1
forward 2
foster 1
found 1
france 1
fray 1
freedom 1
from 8
further 1
garden 1
garrisoned 1
gate 1
gentle 1
george 3
given 1
grandmother 2
grew 1
guarded 1
guarding 1
had 9
halbert 3
hands 1
having 3
he 11
heir 1
help 1
henderson 1
henry 4
her 14
him 7
himself 2
his 14
hopeless 1
horses 1
hour 1
household 1
however 2
imprisoned 1
in 15
inn 1
insisted 1
intercepted 1
interrupted 1
introduced 2
island 1
it 1
jailers 1
john 1
julian 1
keys 2
killed 2
knighted 1
lady 2
landing 1
lapse 1
lasted 1
learnt 2
led 1
length 1
lindesay 1
lochleven 2
locks 1
lord 4
lothian 1
made 1
make 1
male 1
manatarms 1
married 1
mary 3
masqueraders 1
mercy 1
midnight 1
mistress 2
monastery 2
months 1
morning 1
mortally 1
moved 1
murray 1
musketry 1
near 1
nearly 1
next 1
not 1
note 1
notice 1
now 1
number 1
obtaining 1
of 22
on 7
ones 1
onwards 1
out 1
page 2
part 1
party 1
passed 1
peace 1
petted 1
placing 1
plan 1
pledged 1
preconcerted 1
present 1
proofs 1
protected 1
pushed 1
queen 6
reach 1
reached 1
reaching 1
readiness 1
ready 1
real 1
recess 1
recognised 1
recovering 1
regent 2
residence 1
resolution 1
return 1
revels 1
rightful 1
roland 7
romish 1
routed 1
royal 1
run 1
safely 1
sake 1
saved 1
secret 1
secretly 1
seek 1
sent 1
servants 1
services 1
set 1
several 1
seyton 8
shake 1
she 2
ship 1
shore 1
short 1
should 1
signal 1
signed 1
since 1
sir 4
situated 1
some 1
son 2
soon 2
sovereign 1
started 1
stood 1
street 1
strongly 1
substitute 1
succeeded 1
supported 1
supporters 1
sword 1
swordsheath 1
take 1
taught 1
ten 1
that 4
the 42
their 1
then 2
they 5
threatened 1
through 1
to 29
tolled 1
took 1
train 1
travel 1
treated 1
tree 1
trusting 1
turn 1
two 1
undertook 1
unhappy 1
unlocked 1
unsheath 1
until 2
up 1
vigilance 1
waiting 1
was 19
watch 1
way 1
were 5
west 1
when 3
where 3
which 4
while 1
who 5
whom 2
william 1
with 7
withdrawing 1
without 1
woodcock 1
wounded 1
years 2
yew 1
youth 1
