1358189
/m/04wh6b
/m/04wh6b
John Polidori
1819-04-01
a 9
about 2
accompanies 1
acquaintance 1
after 1
alive 1
amazed 1
an 2
and 8
anything 1
appears 1
are 1
arrive 1
arrives 1
at 1
attacked 1
attracted 1
aubrey 14
back 1
bandits 1
becomes 1
before 2
begins 1
blood 1
breakdown 1
but 2
by 2
connect 1
daughter 2
day 2
dead 1
death 2
dies 2
discovered 1
does 2
drained 1
else 1
ended 1
ends 1
engaged 1
englishman 1
entered 1
everyone 1
for 1
greece 1
has 3
he 5
helpless 1
her 1
him 2
his 6
history 1
ianthe 3
in 2
innkeeper 1
is 5
it 1
just 1
keep 1
killed 1
knows 1
leaves 1
legends 1
letter 1
london 2
looking 1
lord 1
makes 1
man 1
marries 1
marry 1
meets 1
mention 1
met 1
mortally 1
murder 1
mutual 1
mysterious 1
nervous 1
night 1
not 3
oath 3
of 5
on 2
or 1
origins 1
pair 1
protect 1
realizes 1
rejoins 1
reminds 1
returns 1
revealing 1
rome 1
ruthven 16
scene 1
secret 1
seduce 1
seduces 1
she 1
shortly 2
sister 5
society 1
suffering 1
swear 1
tells 1
that 2
the 9
then 1
thereafter 2
time 1
to 9
travels 2
up 1
vampire 2
vanished 1
wedding 1
well 1
when 1
where 1
while 1
who 1
whom 1
will 1
with 1
wounded 1
writes 1
year 1
young 1
