4582395
/m/0cb0bw
/m/0cb0bw
Steven Brust
1983
{"/m/057pyk": "Fantasy of manners", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 21
absconded 1
absent 1
accepts 1
acquired 1
activities 1
actually 1
adrilankha 1
against 1
agrees 1
aliera 4
all 2
allow 1
along 1
already 1
always 1
an 4
and 19
another 2
any 1
approached 1
are 3
arrives 1
as 3
assassin 1
assassinated 4
assassination 2
at 2
attempt 1
avoid 1
back 1
be 2
become 2
before 1
being 1
believing 1
between 2
black 4
bodyguards 1
boss 1
both 1
bounty 1
breaking 1
brief 1
brought 1
but 4
by 5
castle 4
causing 1
city 1
clear 1
come 2
compromise 1
contact 1
contract 1
council 1
crime 2
criminal 1
day 1
days 1
dead 1
death 3
decimated 1
deduce 1
defeat 1
demon 2
descends 1
description 1
despite 1
dilemma 1
dragaeran 1
dragon 2
dragonjhereg 2
dragonlord 4
duel 1
during 1
dzurand 1
earning 1
easterner 1
easy 1
edrien 1
ekieron 1
enchantment 1
engages 1
erupt 1
escape 1
even 1
everyone 1
extremely 1
familiar 2
fast 1
feels 1
finally 1
find 3
first 1
flees 1
floating 1
foils 1
follows 1
for 3
forced 1
forever 1
fortress 1
fortune 1
friend 3
friends 3
from 1
gathered 1
get 1
given 1
go 1
grave 1
group 1
guesses 1
guestrights 1
guests 1
halfbreeda 1
hands 1
harm 1
has 6
have 1
having 1
he 7
help 4
herself 1
him 4
himself 1
his 20
history 1
hit 1
holds 1
honor 2
hospitality 2
house 2
houseguest 2
houses 3
hovering 1
how 2
however 2
humiliating 1
if 1
in 6
information 2
insult 1
intends 1
intention 1
intentions 1
interests 1
interviews 1
into 2
invitation 1
invited 1
is 12
it 5
jhereg 13
job 1
kill 2
killed 1
kills 1
known 1
kragar 1
large 1
last 1
late 1
lavode 1
lax 1
leaking 1
life 2
loiosh 2
longer 1
looks 1
lord 1
make 1
manages 2
manipulated 1
master 1
mates 1
mellar 15
member 1
minor 1
mix 1
more 1
morrolan 12
must 1
mysteriously 1
mystery 1
name 1
near 1
nearby 2
nearly 1
need 1
no 2
not 3
novel 1
nullify 1
obvious 1
of 19
offer 1
offered 1
oldest 1
on 5
one 1
opens 1
organization 2
other 2
out 1
own 2
parent 1
performed 1
permit 1
personal 1
plan 2
position 1
powerful 1
preventing 1
protection 2
publicly 1
purposeless 1
quite 1
rather 1
realizes 2
reason 1
reflection 1
respect 1
resulted 1
resurrection 1
revenge 1
reward 1
risk 1
rocza 1
ruined 1
rules 1
ruling 1
same 1
saving 1
second 3
secondincommand 1
see 1
sethra 2
seventeen 1
shame 1
shield 1
solution 2
solve 1
solved 1
some 1
staggeringly 1
standing 1
start 1
stay 1
still 1
stroke 1
swordsman 1
takes 1
taltos 1
than 1
that 9
the 38
theft 1
their 2
they 2
thinking 1
third 1
this 4
through 1
thus 1
thwart 1
time 2
to 25
too 1
traditions 1
treasury 1
tricks 1
tries 1
two 3
under 1
undeterred 1
up 1
used 1
uses 1
vast 1
violate 1
vlad 21
wants 1
war 4
way 1
well 1
were 1
when 1
which 2
while 2
who 2
wild 1
will 2
wisest 1
wishes 1
witchcraft 1
with 11
would 8
