13624371
/m/03cc5p5
/m/03cc5p5
Anya Seton
1941
1800 1
1801 1
a 3
aaron 3
actions 1
alexander 1
alston 2
always 1
and 10
any 1
are 1
as 4
at 1
attracted 1
be 1
before 1
begins 2
behind 1
birth 1
birthday 1
burr 3
but 1
by 1
capitulates 1
carolina 1
chance 2
child 1
choice 1
company 1
constantly 1
controversial 1
cost 1
couple 1
courtship 1
does 1
dueling 1
during 1
dutifully 1
each 1
even 1
father 6
february 1
financial 1
first 1
for 3
gain 1
gives 1
hamilton 1
happy 1
her 10
himself 1
his 4
home 1
hopes 1
however 2
husband 2
if 1
in 5
increase 1
instantly 1
introduces 1
is 4
it 2
joseph 5
keen 1
king 1
lead 1
lewis 2
longs 1
marriage 2
marries 1
meets 1
meriwether 3
mexico 1
moves 1
naming 1
never 1
not 2
of 4
official 1
on 3
only 1
other 1
over 1
political 1
president 1
realise 1
reluctantly 1
reunification 1
romance 2
settle 1
seventeenth 1
she 1
soon 2
south 2
southern 1
spots 1
state 1
states 1
stops 1
story 2
subsequent 1
support 1
take 1
that 1
the 11
then 1
theodosia 9
through 1
time 1
to 8
together 1
trial 1
two 2
vice 1
well 1
where 1
will 1
wishes 1
with 2
working 1
year 1
