3593165
/m/09nlv8
/m/09nlv8
Halldór Laxness
1943
a 4
about 1
an 3
and 2
arnaeus 2
arnas 3
as 1
authorities 1
battle 1
beautiful 1
but 3
collection 1
collector 1
copenhagen 1
danish 1
death 1
denmark 2
does 1
drunkard 1
end 1
executioner 1
farmer 1
fate 1
financed 1
first 1
flee 1
for 1
from 1
get 1
grant 1
he 1
heart 1
him 1
his 5
hopes 1
hreggvisson 1
iceland 2
icelandic 1
in 4
interview 1
is 5
jn 2
king 2
life 1
literally 1
love 1
main 1
manages 1
manuscriptcollector 1
manuscripts 1
married 1
marry 1
murder 1
named 1
not 1
of 8
official 1
pardon 1
part 3
persuade 1
protagonist 1
rich 1
second 1
sentenced 1
she 1
slandssl 1
snfrur 2
snow 1
stays 1
story 1
sun 1
tells 1
the 13
third 1
to 7
where 1
who 1
wife 1
with 4
woman 1
work 1
