5053182
/m/0d0n60
/m/0d0n60
Jerzy Andrzejewski

145 1
17 1
21 1
24yearold 1
3 1
3000 2
5000 1
a 29
abandoned 1
able 1
about 8
accountability 1
accountable 1
actions 1
after 4
again 1
ago 1
agreed 1
agrees 5
ak 2
alek 5
alicja 5
all 8
alongside 1
also 3
although 1
ambush 2
ambushed 1
amount 1
an 5
and 53
andrzej 15
andrzejs 1
another 2
antoni 8
any 1
anyone 1
apartment 2
apparent 1
apparently 1
appears 1
are 7
aristocracy 1
armia 1
army 2
arrested 1
arrives 1
as 8
ask 2
asking 1
asks 4
assumed 3
at 13
attempt 1
attend 2
attendees 2
awakes 1
aware 1
awhile 1
back 4
banquet 4
bar 5
basement 1
be 4
beats 1
been 6
before 2
beginning 1
begins 3
being 2
believe 1
belong 1
biaa 1
boisterous 1
botched 1
both 1
bribe 1
bring 1
brought 1
business 1
but 9
by 6
calls 1
came 1
camp 5
can 3
cannot 3
captain 6
captivity 1
car 1
carry 3
catch 1
causes 1
cement 1
chance 1
change 1
changes 1
characters 1
chats 1
chelmnicki 2
chopins 1
clerk 2
come 3
commanding 1
committed 1
committee 2
communist 1
communists 1
comrade 1
conditions 2
confesses 1
conspiratorial 2
control 1
conversation 4
convince 1
convinces 1
cordial 1
could 1
couple 1
cover 1
coworker 2
crimes 1
crowd 1
day 4
days 2
decide 1
decides 2
declines 1
delay 1
demands 1
desk 4
did 1
dining 1
disappeared 1
disapprove 1
discovers 1
discuss 1
discussion 1
distance 1
district 1
do 1
does 2
doesnt 1
done 1
doubt 1
downstairs 1
driven 2
driving 1
drops 1
during 2
each 1
earlier 3
early 1
easily 1
elder 1
eliminating 1
end 3
ending 1
ends 1
enormous 1
enrolling 1
enters 1
entertainment 1
entire 1
evening 1
expect 1
expected 1
explains 2
extent 1
factory 1
fallen 1
falls 1
family 2
fate 1
father 1
feels 1
fighting 1
film 1
finally 1
find 4
finish 1
first 1
florian 2
following 1
follows 1
for 9
formed 1
four 1
fragments 2
frank 1
friend 4
friends 4
from 15
fund 1
gawlik 1
german 2
get 1
gets 1
given 2
go 5
goes 5
gone 2
government 1
greet 1
grossrosen 4
groszligrosen 1
guests 3
had 14
hardly 1
has 20
have 6
having 2
he 37
hearing 1
hears 1
held 1
help 1
her 21
herself 1
hidden 1
him 13
hinting 1
his 29
home 4
honks 1
hopes 1
horn 1
horrible 1
hotel 8
hours 1
house 1
how 1
however 1
hurries 1
husband 2
ii 1
impatiently 1
important 1
impresario 1
imprisoned 1
in 35
including 1
intended 1
into 3
investigate 1
invited 1
invites 1
involved 2
is 35
it 4
its 1
january 1
janusz 2
jeep 7
jerzy 2
job 1
join 1
joined 1
judge 1
just 4
katarzyna 5
keep 1
keeps 1
key 1
kill 4
killed 2
killing 3
kills 1
knew 1
knowing 1
known 2
kossecka 5
kossecki 19
kosseckis 1
kotowicz 4
krajowa 1
krystyna 6
krystynas 1
last 3
late 1
later 4
leader 2
learning 1
learns 1
leave 4
leaves 1
left 1
lend 1
life 4
lives 1
living 1
local 1
long 1
longer 1
love 2
lying 1
maciej 17
maciejs 2
maid 1
main 1
make 1
man 1
maria 2
matters 1
may 1
meanwhile 2
meet 1
meeting 5
meets 1
men 1
mentioned 1
mentions 1
met 1
military 1
money 8
monopol 5
moral 1
more 1
mother 2
much 1
musicians 1
must 1
name 5
named 2
narrow 2
nazi 1
nearby 1
necessary 1
needs 2
nervous 1
never 1
new 1
next 3
night 1
no 1
not 5
note 1
now 1
obey 1
obviously 1
of 35
officer 1
old 1
on 7
one 2
ones 1
only 1
order 4
ordered 2
orders 2
organization 3
orientation 1
ostrowiec 5
