3052362
/m/08n9k_
/m/08n9k_
Kazuo Ishiguro
2000
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
100s 1
130s 1
a 10
about 2
achieves 1
adamantly 1
after 3
agreed 1
akira 1
alive 1
all 1
alone 1
always 1
an 5
and 11
apparent 1
appears 2
are 2
area 1
as 4
asks 1
at 3
aunt 1
averted 1
away 3
banks 1
battles 1
be 4
become 1
been 2
begin 1
believes 2
belonging 1
between 2
boundaries 1
britain 1
businessman 1
but 8
captured 1
case 3
catastrophe 1
caught 1
childhood 2
china 3
chinese 3
christopher 14
commander 3
complicit 1
concubine 1
confirmation 1
confused 1
convincing 1
cooperate 1
dangerous 1
decades 1
detective 2
determination 1
died 1
direct 1
disappear 1
disappearance 1
disregard 1
does 1
doing 1
during 1
earlier 1
early 2
england 1
english 1
enter 2
enters 1
evaporate 1
even 1
event 1
expenses 1
fact 2
fame 1
fantasy 1
father 3
fees 1
few 3
financial 1
find 1
forgive 1
former 1
friend 1
from 1
further 1
given 1
goal 1
goes 1
gun 1
had 2
has 1
have 1
he 19
held 1
her 3
him 7
his 26
hong 1
house 3
how 1
however 2
if 1
important 1
impression 1
in 11
injured 1
insulted 1
international 1
interval 1
investigation 1
investigator 1
is 11
it 3
japanese 3
kidnapped 1
kidnapping 2
kill 1
kong 1
ku 2
late 1
later 4
learns 2
lend 1
life 1
live 2
living 2
locates 1
lodger 1
loved 1
lover 1
made 1
man 1
may 2
meets 1
most 1
mother 6
named 1
neutrality 1
new 1
nickname 1
not 5
novel 1
of 8
off 1
offers 1
old 1
on 1
only 2
opium 1
order 1
out 1
parents 4
persuades 1
philip 2
place 1
police 1
present 1
private 1
promised 1
puffin 1
pursues 1
ran 1
real 1
recognize 2
refuses 2
residence 1
returns 1
reunited 1
reveals 1
rude 1
ruthless 1
seems 2
sent 1
settlement 1
several 1
shanghai 2
she 4
should 1
so 1
soldier 1
soldiers 1
solve 2
solves 1
son 1
soon 1
source 1
spreads 1
station 1
still 3
support 1
sure 1
take 2
takes 1
that 11
the 20
their 1
them 2
then 1
there 2
they 2
this 7
through 2
throughout 1
time 1
to 25
told 1
took 1
truth 1
tuition 1
typhoid 1
uncle 4
up 1
used 1
uses 1
vows 1
wang 2
warlord 1
wartorn 1
was 3
way 1
weeks 2
what 1
when 2
which 1
while 1
who 3
why 1
will 1
with 4
within 1
words 1
world 1
years 2
