19087305
/m/04jlq89
/m/04jlq89
Richard Morgan

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 4
abandoned 1
adjusting 1
after 2
alliance 1
almost 1
and 5
as 1
because 1
behind 1
between 1
board 1
but 2
civilized 1
clan 1
conflict 1
court 1
decadent 1
difficulty 1
dragonbane 1
egar 1
emperor 1
empire 1
eskiath 1
exchanging 1
exile 1
family 1
feels 1
finds 1
folk 1
for 1
from 1
gallows 1
gap 1
gay 1
halfbreed 1
have 1
having 1
he 3
hero 1
heroes 1
herself 1
him 1
his 3
humankiriath 2
in 4
indamaninarmal 1
inn 1
invading 1
is 2
kirarcheth 1
kiriath 1
lady 1
leader 1
league 1
left 1
lives 1
lodging 1
majak 1
mercenary 1
more 2
most 1
native 1
nomad 1
northern 1
of 5
only 1
out 1
own 1
peace 1
people 2
place 1
renewed 1
repelled 1
returned 1
ringil 1
scaled 1
seen 1
selfimposed 1
shuns 1
small 1
steppe 1
still 1
stories 1
ten 1
terrible 1
the 17
three 1
to 4
tolerate 1
trelayne 1
unable 1
uneasy 1
village 1
war 3
wars 1
was 1
when 1
wonders 1
world 2
years 1
yhelteth 2
