2176803
/m/06smdb
/m/06smdb
Samuel Butler

14 1
a 12
able 1
accepting 1
actually 1
after 6
an 4
and 23
antichristian 1
are 4
argue 1
argument 1
arguments 1
as 1
ask 1
astrologer 1
at 1
attack 2
audience 1
avoid 1
away 1
baiters 1
be 1
bear 1
bearbaiters 1
bearbaiting 1
beating 2
been 1
before 1
believing 1
breaking 2
broke 2
but 4
butler 1
by 6
canto 1
captive 1
capture 1
capturing 1
celebrated 1
chased 1
come 1
comes 1
complains 1
condition 1
confesses 1
considerably 1
convince 1
convinces 1
cromwell 2
crowd 1
death 1
debates 1
decides 1
deciding 1
declines 1
defeated 1
defeating 1
describes 1
details 1
different 2
digression 1
directions 1
does 1
eggs 1
ends 2
entire 1
events 1
exchange 1
explain 1
extension 1
factions 1
fame 1
fate 1
fiction 1
fifth 1
fight 1
first 3
flagellate 1
fools 1
for 2
forth 1
free 1
frees 1
from 4
fun 1
get 1
give 1
gives 1
glory 1
going 1
got 1
group 2
had 4
happened 1
haranguing 1
has 1
have 2
he 8
hence 1
her 2
him 5
himself 2
hired 1
his 7
house 1
how 3
hudibras 5
if 1
imprisoned 1
in 7
interrupted 1
into 1
is 9
it 1
killed 1
kind 1
knight 6
lawyer 1
lawyermdashthe 1
left 1
letter 1
letters 1
lewdness 1
lord 1
love 1
lying 1
made 1
men 1
mention 1
monarchists 1
much 1
next 1
no 2
nobility 1
not 1
oath 2
oaths 1
of 14
off 2
offer 1
oliver 1
on 1
once 1
one 2
pair 1
part 2
parts 1
pelted 1
people 1
perjurd 1
picks 1
poem 1
procession 1
profession 1
promise 1
promised 1
promising 1
providence 1
published 1
puritans 1
rallies 1
ralpho 4
rather 1
really 1
rebuffed 1
regrets 1
religion 1
renews 1
reported 1
richard 1
rotten 1
run 1
rushes 1
saintlike 1
saintliness 1
sally 1
satirisemdashwho 1
second 1
see 1
selfdenying 1
she 3
should 1
sidrophel 3
sins 2
sir 1
skimmington 1
some 3
son 1
spirits 1
squabbles 1
squire 3
stead 1
stock 1
succession 1
such 1
suddenly 1
suggesting 1
supposing 1
than 1
that 3
the 38
their 3
them 1
themselves 1
then 3
there 2
they 4
third 1
this 1
to 17
told 2
trained 1
tries 1
two 2
up 2
upon 1
veil 1
virtue 1
visit 2
visits 1
was 1
well 1
what 1
where 2
which 2
while 1
whipping 1
widow 6
with 7
women 1
woo 1
wooing 1
word 1
write 1
years 1
