17836802
/m/047dq3w
/m/047dq3w
Jim Butcher
2007-12-04
300 1
a 14
abilities 1
able 5
accompanied 1
after 4
against 2
aims 1
alera 4
aleria 1
alerian 1
all 4
allowing 1
along 1
also 1
amara 2
ambassador 1
an 1
and 33
angry 1
announces 1
approach 1
aquitaine 1
araris 3
are 4
area 1
arnos 13
as 8
assist 1
at 3
attack 1
attacked 1
attacks 1
attempt 1
attempts 1
back 1
balest 2
bathtub 1
battle 4
be 2
been 1
bernard 1
between 1
blister 1
board 2
book 2
both 2
brencis 1
build 1
but 3
by 7
calderon 1
can 1
canim 9
cannot 1
captain 1
challenges 1
charge 2
codex 1
cohort 1
coin 1
comes 1
command 2
committee 1
conflict 1
confronting 1
conspiring 1
constant 1
count 1
countess 1
crassus 1
cursor 1
cuttersword 1
deadliest 1
deal 3
delivers 1
destroyed 1
destroying 1
destroys 2
destruction 2
disarm 1
discovered 1
do 1
duel 3
during 3
ehren 1
eliminate 2
elinarch 2
end 2
enemy 3
ensure 1
entirely 1
erupt 1
escape 2
escapes 1
everyone 1
face 1
faced 1
father 2
feet 1
fidelias 1
find 1
first 1
for 5
forces 5
free 1
from 6
furies 1
fury 3
furycraft 1
furycrafting 1
gaius 9
garic 1
get 1
gets 1
grabs 1
great 2
grey 1
group 2
grow 1
had 1
has 3
have 2
he 10
heal 1
healers 1
heals 1
help 1
her 4
hiding 1
high 1
him 4
himself 1
his 9
home 1
homeland 1
identity 1
if 2
immortals 1
imperia 1
in 13
infection 1
initial 1
injured 1
injury 1
instead 1
instructed 1
intends 1
into 1
invidia 5
is 23
isana 3
isanas 1
it 3
journey 1
juris 1
kalare 6
kalares 1
kalarus 1
kalaruss 2
kill 3
killed 1
kitai 1
knows 1
ladies 1
lands 3
leader 2
leaves 1
leaving 1
led 1
legion 2
leviathans 2
like 1
look 1
lord 1
lords 1
lying 1
macto 1
make 1
marcus 2
marcusfidelias 1
may 1
mean 1
meeting 2
message 1
miles 1
minoris 1
mission 2
most 1
mother 1
mountain 2
mountains 2
must 2
nasaug 4
navaris 1
night 1
now 1
octavian 1
of 18
oil 1
on 4
one 1
only 2
or 1
over 2
own 1
passage 1
passed 1
performed 1
pharygiar 1
places 1
plotting 1
poison 1
powerful 1
powers 2
presence 1
prior 1
prison 1
protection 1
pushing 1
raged 1
red 1
region 1
releases 1
remove 1
removed 1
repelling 1
represents 1
reside 1
return 1
returns 2
revealed 1
rufus 1
ruin 1
safe 1
same 1
says 1
scipiotavi 1
secret 1
senator 3
send 1
septimus 1
seriously 1
several 2
sextus 2
she 2
ship 3
ships 1
signal 1
silver 1
singulares 3
so 1
son 1
spies 1
stars 1
stop 1
strike 2
strikes 1
struck 1
survives 1
system 1
take 3
taken 1
takes 1
tavi 15
tell 1
telling 1
tells 2
tended 1
that 12
the 60
their 6
them 7
then 2
they 3
this 3
threat 1
three 1
through 2
throws 1
time 1
to 34
tower 1
tries 1
trying 2
two 2
unable 1
use 1
uses 1
using 1
varg 2
vord 1
voyage 1
walking 1
war 2
was 3
way 3
where 1
which 2
who 9
will 2
wins 1
witchmen 1
with 8
without 1
woken 1
working 1
would 1
years 2
