3111640
/m/08s3rm
/m/08s3rm
Greg Bear

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
after 1
again 1
already 1
anakin 2
and 2
appear 1
apprentice 1
as 2
assassin 1
assassins 1
away 1
battle 1
be 1
becomes 1
best 1
blood 2
blueprinted 1
by 2
carver 2
chafes 1
commander 1
council 1
deadly 1
death 1
decides 1
designer 1
events 1
few 1
fleets 1
flying 1
from 1
future 1
gamble 1
games 1
gone 1
grand 1
grow 1
has 2
he 1
headed 1
him 1
his 1
in 1
interrupted 1
investigate 1
involved 1
is 2
it 1
jedi 5
kenobi 1
less 1
life 1
menace 1
missing 1
moff 1
new 1
no 1
obiwan 2
of 3
on 2
organic 1
own 1
participate 1
phantom 1
place 1
planet 1
produces 1
pursues 1
remote 1
sekot 2
send 1
served 1
ship 1
skywalker 1
sneaks 1
spacecraft 1
squadron 1
star 1
story 1
takes 1
tarkin 2
than 1
that 2
the 10
their 1
this 1
threaten 1
to 3
two 2
under 1
weapons 1
well 1
with 1
world 2
would 1
years 1
young 1
zonama 1
