31638303
/m/0gmcxb_
/m/0gmcxb_
Lorrie Moore
1994
172 1
7 1
a 12
abortion 2
academic 1
academics 1
accident 1
achieved 1
adolescence 2
adopted 1
adult 1
after 2
age 1
amusement 1
an 3
and 14
arm 1
artist 1
as 2
astonished 1
at 7
baptized 1
became 1
before 1
began 1
being 1
benoitemarie 1
berie 15
between 1
boarding 1
bond 1
boy 1
boys 1
broken 1
brother 1
but 3
by 3
camp 1
carr 1
caught 1
changed 1
character 1
chaussee 1
cinderella 1
claude 1
close 1
closeness 1
code 1
comfortable 1
commits 1
companionship 1
confused 1
coworkers 1
curator 1
daniel 4
dating 1
details 1
development 1
difficult 1
distance 1
distant 1
dominated 1
down 1
during 2
ear 1
ends 1
eventually 1
exchange 1
explored 1
exposure 1
face 1
filo 1
finally 1
fired 1
for 6
foreignness 1
forestalled 1
fought 1
found 1
friend 2
friends 2
frogs 1
from 6
gave 1
getting 1
guests 1
he 1
her 16
high 1
historical 1
horsehearts 2
hosted 1
house 1
husband 1
in 7
institutionalized 1
is 3
it 1
languages 1
laroue 2
last 1
late 1
later 2
leaving 1
like 1
lived 1
local 2
made 2
main 1
manager 1
marguerite 1
marriage 1
met 1
middle 1
mike 2
money 1
mood 1
motorcycle 1
narrates 1
narrator 1
new 1
noticed 1
novel 2
now 1
numerous 1
odd 1
of 6
on 1
organized 1
out 1
own 1
parents 2
paris 1
parisian 1
park 2
past 2
pay 1
pays 1
period 1
photographic 1
physical 1
pitfalls 1
played 1
pregnant 1
pushed 1
ranging 1
recalls 1
recently 1
recollections 1
recreate 1
register 1
relationship 2
religion 1
resulting 1
reunion 1
reverend 1
ride 1
saved 1
scarcity 1
school 2
searching 1
seeks 1
sent 1
settles 1
shared 1
she 6
sils 10
silsby 1
sister 1
society 1
sold 1
stairs 1
stole 1
storyland 4
students 1
success 1
suicide 1
summer 3
teenage 1
temporarily 1
that 2
the 13
their 3
they 2
tickets 1
time 1
times 1
tin 1
to 6
troubles 1
ultimately 1
unable 1
understand 1
until 1
vacationing 1
visit 1
visiting 1
was 2
watching 1
when 1
where 1
while 1
who 1
with 8
worked 1
years 1
york 1
