25471590
/m/09rs63z
/m/09rs63z

2009-09-15
{"/m/0dwly": "Children's literature"}
11yearold 1
200 1
a 10
able 1
academy 4
accelerate 1
actually 2
addition 1
advanced 2
advancements 1
air 1
aliens 4
amanda 9
amandas 4
ambassadors 1
amongst 1
an 2
and 26
anonymous 1
another 2
appreciated 1
are 7
as 5
assignment 2
at 2
audience 1
award 1
bad 1
beam 1
because 3
become 2
been 3
begins 1
being 1
bill 1
block 2
bodies 1
both 1
brain 1
brains 1
brilliance 1
but 2
by 6
can 3
career 1
challenges 1
charged 1
children 2
chiu 1
chosen 1
classmates 2
cleaner 1
closest 1
competing 1
competition 2
competitions 1
completely 1
complex 1
components 1
comprehend 1
considered 1
creatures 1
cut 1
daughter 1
derek 2
detract 1
developed 1
developing 1
devise 1
devising 1
dimwitted 1
dirt 1
discovery 1
disguised 1
distinguishes 1
divided 1
do 1
doesnt 1
dosanjh 1
downview 1
drawn 1
drunk 1
dull 1
each 1
earth 4
earths 1
eat 1
eccentric 1
electricity 1
electronic 1
encourage 1
engineer 1
enigmatic 1
enjoyment 1
eugenia 2
evelyn 2
every 1
exception 1
exhibit 1
exhibits 1
exoskeletal 1
faculty 1
fair 1
family 1
fellow 1
first 2
flighty 1
flourish 1
for 5
forge 1
form 1
former 1
forsythe 1
fortunately 1
friendly 1
friends 2
friendships 1
from 4
fun 1
funding 1
future 2
genes 1
george 2
give 1
given 2
goodwill 1
grass 1
groomed 1
group 1
hand 1
happy 1
has 1
have 4
head 1
headmistress 1
help 1
her 12
herself 1
hideous 1
high 1
highly 1
home 1
hometown 1
how 1
human 1
humanitys 1
hunger 1
identical 1
idyllic 1
if 1
in 9
instead 1
intellectually 1
intelligence 1
intelligent 1
into 2
intramural 5
ire 1
is 7
isnt 1
it 3
its 1
jealous 1
judges 1
lame 1
larger 1
leader 1
leading 1
learn 1
leitspied 2
life 2
live 1
lives 1
loses 1
magnate 1
make 2
man 1
manipulative 1
means 1
mechanism 1
memories 1
mindless 1
misses 1
most 3
murphy 1
natural 1
new 1
next 1
night 2
not 1
nothing 1
of 15
off 2
on 5
one 3
oppenheimer 2
other 1
outcasts 1
outside 1
outwit 1
over 2
own 1
pass 1
peers 1
perfect 1
pet 1
philanthropists 1
photon 1
place 1
plan 1
planet 3
power 1
pressing 1
prestigious 1
principal 1
prize 1
problem 1
problems 1
professor 1
projects 1
recognize 1
recognized 1
reengineering 1
remote 1
research 3
residence 1
richest 1
robot 1
room 1
run 1
sail 1
sanjay 2
save 1
scholarship 1
school 1
science 1
scientific 3
scientists 1
scouts 1
scuttle 1
secrets 1
seems 1
sent 1
seriously 1
she 2
signal 1
slaves 1
snootman 2
so 1
social 1
software 1
solving 2
spaceship 1
spiderlike 1
staggeringly 1
star 1
sticks 1
still 1
story 1
strong 1
student 1
students 1
success 1
suggests 1
supergenius 2
superior 1
supposedly 1
synapses 1
take 1
teacher 1
teachers 2
team 1
teams 2
technologies 1
terribly 1
terrifying 1
that 7
the 31
their 10
them 3
then 1
theories 1
there 1
they 5
thinking 1
thinly 1
third 1
threatens 1
three 1
through 1
time 1
to 23
too 1
top 1
transmit 1
tries 1
truly 1
turning 1
two 1
ultragifted 1
underestimated 1
underprivileged 1
unlimited 2
until 1
up 1
using 1
vacuum 1
vain 1
victory 1
villages 1
want 1
well 1
were 1
what 1
which 1
who 2
with 4
world 2
worlds 1
young 1
