18258915
/m/04cy4y4
/m/04cy4y4
Wayne Grady
2004-09
01 1
10nbspyears 1
20nbspyears 1
260nbspfeet 1
550nbspyears 1
80nbspmeters 1
a 22
abandoned 1
about 3
accumulate 2
accumulating 1
acknowledgments 1
after 1
aided 1
air 1
alders 1
all 1
along 1
an 3
anchors 1
and 40
animal 1
animals 2
ants 1
any 1
april 2
are 3
area 2
around 1
as 6
assist 1
at 3
auxins 1
bacteria 1
bark 2
bats 1
become 1
becomes 4
begin 1
begins 4
between 2
birth 2
blows 1
book 5
botany 1
branch 2
branches 3
breaks 1
broadleaf 1
broke 1
buds 7
burst 1
but 4
by 5
can 1
canopy 2
capacity 1
cell 1
cells 1
centuries 1
chapter 3
chapters 1
closes 1
coat 1
colonies 1
colonized 1
compromised 1
cone 2
cones 4
consists 1
containing 1
continue 1
crop 1
damp 1
darkeyed 1
dead 1
deadfall 1
death 3
decompose 2
deep 1
describes 1
destroyed 1
develop 4
develops 1
die 1
digressions 1
diverts 1
division 1
dormant 1
douglas 1
douglasfir 3
down 2
downward 1
dries 1
dry 1
early 1
eat 2
effective 1
either 1
elsewhere 1
embryonic 1
emerges 1
end 1
energy 1
enough 2
enter 2
events 1
eventually 1
every 2
excel 1
excess 1
exhausted 1
exposed 2
exposing 1
extra 1
fall 1
feces 1
ferns 1
fertile 1
fertilizes 1
final 1
fire 2
first 2
five 1
fluids 1
followed 1
following 1
food 1
for 3
forest 3
form 2
from 2
fungi 1
fungus 3
gathered 1
generic 1
germinate 1
give 1
grayish 1
grow 3
grows 4
growth 2
heat 1
help 1
his 1
history 1
home 2
hormones 1
ideas 1
immune 1
in 15
includes 1
index 1
infected 1
insect 1
insectivores 1
insects 2
into 2
introduction 2
is 4
it 4
its 4
itself 1
july 1
juncos 1
lack 1
larvae 1
last 1
laterally 1
layer 3
leave 1
led 1
less 1
lichen 1
life 2
light 1
lightning 1
like 1
long 1
lower 1
mat 3
maturity 1
middle 1
midmay 1
mist 1
mites 1
mosses 1
much 1
narrative 1
nearby 1
needles 6
new 6
next 1
nitrogenfixation 1
nitrogenfixing 1
not 1
nutrients 5
occur 1
of 25
off 1
offer 1
old 2
on 6
one 3
open 3
opening 2
opens 1
or 1
orange 1
osmosis 1
other 2
over 2
owls 1
part 1
particularly 1
parts 1
photosynthesis 1
plant 1
plants 1
pollen 3
produced 1
production 1
quality 1
quantity 1
rain 2
rainstorm 1
rather 1
red 1
references 1
related 1
relationship 1
relationships 1
release 1
released 1
releasing 1
remain 1
remaining 1
reserves 1
resulting 1
ring 1
rings 1
rodents 1
root 6
roots 7
rot 1
scales 2
second 1
section 1
seed 5
seedeating 1
seedling 1
seeds 2
selected 1
september 1
series 1
set 1
shaded 1
shrubs 1
similar 1
slowly 1
small 1
snag 1
snow 1
soil 2
some 2
specific 1
spread 1
spreads 1
sprout 1
squirrels 2
stage 1
stands 1
starch 1
starches 1
starting 1
starved 1
stashes 1
stem 1
storage 1
stresses 1
succession 1
successive 2
such 1
sugars 1
summer 1
sunlit 1
surrounded 1
survive 1
survived 1
suzuki 1
symbiotic 2
system 2
takes 2
taking 2
tall 1
taller 1
taproot 1
termites 1
than 1
that 3
the 79
their 2
these 1
thicker 1
thin 1
this 1
through 2
throughout 2
tissue 1
to 15
too 1
top 1
topics 1
transportation 1
transported 1
transports 1
tree 14
trees 1
truffles 4
trunk 1
turning 1
under 1
underground 1
understory 1
undifferentiated 1
until 1
upper 1
uptake 1
upwards 1
uses 1
varies 1
vascular 1
water 3
weaken 1
web 1
weight 1
welldrained 1
were 1
where 2
which 5
while 1
whose 1
wide 1
will 1
windborne 1
winged 1
winter 3
with 12
within 1
wood 3
woodpeckers 1
writing 1
written 1
year 3
years 1
yeartoyear 1
