4096510
/m/0bhthg
/m/0bhthg
Anne McCaffrey
1977-02
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 10
accepted 1
age 1
all 1
also 1
although 1
and 9
any 1
apprentice 1
apprenticed 1
apprenticeship 1
are 2
as 4
at 4
authority 1
be 1
become 1
begins 2
being 1
believe 1
between 1
beyond 1
by 2
can 1
challenging 1
classes 1
coming 1
communities 1
complicated 1
conflicting 1
conservatory 1
creatures 1
day 1
deal 1
developing 2
dislike 1
distraction 1
do 1
dont 1
dragonlike 1
dragonsong 1
emphases 1
encouraged 1
even 1
events 2
explored 1
extremely 1
faithful 1
fellow 1
female 1
figures 1
final 1
finds 3
fire 3
first 1
follows 1
for 3
friends 1
from 1
gains 1
gifts 1
glad 1
group 1
hall 4
handful 1
harper 6
harpers 1
has 1
have 1
help 1
her 13
herself 3
hours 1
in 7
including 1
instead 1
into 1
is 4
journeyman 1
keep 1
learning 1
life 1
living 1
lizards 3
majority 1
make 1
many 1
master 1
members 1
menolly 3
minstrelseducators 1
most 1
music 3
musical 2
musician 2
musicians 1
must 1
nearrecord 1
nine 1
novel 2
now 1
nuisance 1
of 13
one 1
or 1
other 1
out 1
over 1
own 1
paying 1
pern 1
piemur 1
place 2
placed 1
play 1
professionals 1
properties 1
quarters 1
real 1
rounding 1
sebell 1
see 1
she 8
situation 1
small 1
some 1
specialize 1
sped 1
still 2
story 2
struggles 2
students 1
system 2
tale 1
talent 1
talents 1
teachers 1
techniques 1
that 1
the 17
their 1
them 1
those 1
through 3
time 3
to 5
torn 1
training 1
type 1
unpleasant 1
want 2
what 1
while 1
who 4
whose 1
will 1
with 2
within 2
write 1
