25613671
/m/09v3690
/m/09v3690
Elsie Singmaster
1933
{"/m/0dwly": "Children's literature"}
12yearold 1
185 1
a 3
and 4
army 1
be 1
black 1
brown 1
by 3
catchers 1
cellar 1
colt 1
conductor 1
confederates 1
cook 1
deane 1
devastated 1
events 1
family 1
father 1
ferry 1
final 1
friend 1
friends 1
gettysburg 1
harper 1
he 9
helped 1
his 4
house 1
however 1
in 3
is 8
john 2
joins 1
kidnapped 1
later 1
learns 1
lives 1
locked 1
nicholas 3
of 1
old 1
on 1
pennsylvania 2
raid 1
railroad 1
reaches 1
sees 1
seized 1
sent 1
servant 1
slave 1
sold 1
south 1
that 1
the 9
to 2
training 1
troop 1
underground 1
union 1
visits 1
war 2
when 2
where 1
whom 1
with 3
witnesses 1
