1337192
/m/04ttch
/m/04ttch
August Wilson

53yearold 1
a 18
about 2
accidental 1
act 4
affair 1
affection 1
after 1
alberta 3
allegoryto 1
allowed 1
also 1
an 4
and 15
are 2
as 6
asked 1
at 2
attention 1
away 1
back 1
barrel 1
barrier 2
baseball 2
be 2
because 2
becoming 1
been 2
before 1
begins 1
belonged 1
best 1
between 1
black 1
bonnie 1
bono 3
borrow 1
boss 1
bought 2
broken 1
brother 1
build 2
building 1
but 5
by 3
causes 1
character 1
cheating 1
childbirth 1
collectingremarkably 1
color 1
come 1
comes 1
committed 1
conceived 1
conceptualizes 1
confident 1
conversation 1
convinced 1
cory 2
crazy 1
crossing 1
currently 1
daughter 1
death 1
demonstrating 1
died 1
dies 1
discovery 1
do 2
dollars 1
dramatic 1
drinking 1
drive 1
driver 1
due 1
during 3
elsewhere 1
entitled 1
eventually 1
exsoldier 1
family 1
father 1
fatherthe 1
fence 2
fences 1
final 2
finished 2
focus 1
followed 1
for 5
forced 1
friend 1
from 3
funeral 1
future 1
gabriel 2
garbage 2
garbriel 1
girlfriend 1
gives 2
go 1
good 1
got 1
great 1
grim 1
had 2
happy 1
hard 1
hardheaded 1
has 4
having 1
he 10
head 2
hed 2
her 2
him 4
his 16
home 2
house 2
household 1
how 2
husband 1
if 1
immediately 1
in 13
initially 1
injury 2
inside 1
instead 1
institutions 1
is 12
it 6
its 1
job 1
join 1
just 2
keep 1
keeping 1
known 1
later 1
league 1
life 1
lifter 1
lives 5
location 1
longstanding 1
loved 1
lyons 3
major 1
make 1
man 2
marriage 1
means 1
men 1
menial 1
midplay 1
military 1
money 3
monologue 1
mother 1
mr 1
murder 1
musician 1
named 1
neighborhood 1
never 2
nevertheless 1
not 3
notable 1
now 1
obsession 1
of 7
often 2
on 1
opening 2
or 1
out 1
outside 2
own 1
pay 2
payday 1
persuades 1
pittsburgh 1
play 6
player 1
poor 1
practicing 1
pregnant 1
previous 1
prison 1
promised 1
promises 1
providing 1
race 1
rand 1
raynell 1
reaper 1
receive 1
references 1
referred 1
refrigerator 1
refuses 1
rented 1
requested 1
resentment 1
respectable 1
respects 1
revealed 3
robbery 1
room 1
rose 4
save 1
second 1
securing 1
seems 1
seen 2
seven 1
sevenyearold 1
several 1
she 1
short 1
should 1
shows 1
so 1
some 1
son 4
specified 1
speech 1
spent 1
start 1
stay 2
still 2
struggles 1
taken 1
talking 1
ten 1
that 3
the 24
their 1
there 1
this 1
though 2
through 1
time 3
title 1
to 22
training 1
trash 1
troy 17
trucks 1
unable 1
union 1
up 1
wanted 1
wants 1
war 1
was 3
went 1
what 3
who 4
whose 1
why 2
wife 2
will 1
wilson 1
with 6
woman 1
works 1
would 1
years 2
yet 1
younger 2
