4125096
/m/0bkfrx
/m/0bkfrx
Beverly Cleary
1953
a 8
about 2
accost 1
act 2
actions 1
after 1
against 1
allow 1
allowed 1
also 1
although 1
an 2
and 13
annoys 1
another 1
any 2
apartment 1
apology 1
are 3
around 1
as 3
at 2
attention 1
austine 1
back 1
backfires 1
bad 2
because 2
becomes 1
been 1
behavior 2
behaviour 1
behind 1
best 1
bonds 1
book 2
boy 1
bread 1
brothers 1
bursts 1
but 1
by 1
cafeteria 2
cause 1
causing 1
chapter 1
chunk 1
class 3
classmate 1
classmates 2
classroom 1
clearly 1
close 2
come 1
comeuppance 1
concedes 1
confess 1
consists 1
crossed 1
culprit 1
cuts 1
dare 1
dejected 1
did 1
displeasure 1
does 3
each 1
ellen 10
end 2
enough 1
entire 2
eventually 1
excellent 1
exchange 1
exciting 1
exhibits 1
experiment 1
feeding 2
feeds 1
feels 1
finally 1
fingers 1
firing 1
first 1
flees 1
food 1
for 5
forcing 1
form 1
forward 1
friend 1
friends 1
from 1
get 2
gets 1
girls 2
gitler 2
gives 1
grow 1
growth 1
had 2
hair 1
has 1
have 2
he 13
her 4
him 6
himself 1
his 13
home 2
hoping 1
how 1
ice 1
impress 1
in 7
innocuous 1
instance 1
into 1
is 8
it 4
keep 1
later 1
leaving 1
life 1
likes 1
lives 1
long 3
make 1
manage 1
means 2
monitoring 1
more 1
mother 2
mouth 1
mrs 2
much 1
near 1
nearly 1
not 4
of 7
off 1
offer 1
often 2
on 2
one 3
only 1
opens 1
or 1
order 1
otis 14
painstakingly 1
performs 1
pester 1
pestering 1
pigtails 1
pond 1
pop 1
prank 1
pranks 1
predicted 1
project 1
promensity 1
promise 1
rat 4
reasons 1
receives 1
relish 1
reluctant 1
retribution 1
reveals 1
revolves 1
sabotages 1
school 1
science 1
secretly 1
served 1
she 5
shoes 2
sisters 1
skates 1
skating 1
soda 2
spitballs 1
spofford 1
stealing 1
steps 2
stop 1
stunned 1
subsequently 1
such 1
take 1
teacher 1
tears 1
tebbits 1
that 3
the 20
their 1
this 2
thus 1
time 3
to 19
torments 1
tries 1
trouble 2
trying 1
turns 1
two 2
typically 1
underfed 1
unfortunately 1
victim 1
walk 1
was 1
well 2
what 1
when 3
which 3
while 1
who 1
why 1
will 3
wise 1
with 3
yearns 1
young 1
