231716
/m/01hq09
/m/01hq09
Roald Dahl
1982
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 20
able 1
about 1
adventures 1
aforementioned 1
after 3
afterwards 1
agree 1
aim 1
air 1
also 1
among 1
and 18
any 1
apparent 1
approach 1
appropriate 1
are 2
army 2
as 6
asleep 2
author 1
baghdad 1
be 2
beans 1
because 2
become 1
bedroom 2
bedrooms 1
been 1
beings 1
believes 1
belligerent 1
benevolent 1
bfg 11
big 1
bloblike 1
blow 1
blowing 1
blowpipe 1
book 2
break 1
breakfast 1
brief 1
bubbles 1
built 1
burp 1
by 3
called 1
calls 1
can 1
cannot 1
capture 1
capturing 1
carries 1
castle 1
catches 1
cause 1
causes 1
chair 1
childeating 1
children 3
closely 1
collects 1
confirm 2
considerable 1
constructed 1
contents 1
cooperate 1
cottage 1
country 2
create 1
creates 1
cucumbers 1
cutlery 1
dahl 1
destroys 1
device 1
distributes 1
do 1
door 1
down 1
downwards 1
dream 2
dreams 2
drink 2
drinker 1
during 1
early 1
ears 1
eat 2
eating 2
effort 1
end 1
england 2
english 1
enter 1
escape 1
especially 1
eventually 2
fall 1
feeds 1
fiercest 1
fights 1
flatulence 1
fleet 1
fleshlumpeater 1
flies 1
floating 1
follows 1
for 4
force 1
forms 1
foultasting 1
friendly 1
friends 1
frobscottle 1
from 2
giant 6
giants 9
girl 1
given 1
good 1
granddaughter 1
hangs 1
happily 1
has 1
having 1
he 7
head 1
hear 1
helicopters 2
henry 1
her 3
him 2
his 1
home 1
homeland 1
hour 1
house 1
huge 2
human 3
immense 1
in 9
included 1
initially 1
inspired 1
instead 1
into 2
introducing 1
is 7
it 3
james 1
king 1
knowledge 2
known 3
largest 1
later 2
lavish 1
leaves 1
likewise 1
literary 1
little 2
lives 1
living 1
locations 1
london 1
maneating 1
manifest 1
marshal 1
means 1
misty 1
more 1
named 1
narrated 1
ndash 1
new 1
next 1
night 1
nightmare 2
nights 1
noisy 1
not 1
notices 1
objects 1
of 17
officers 1
on 4
once 1
one 1
only 1
operating 1
or 2
other 3
palace 1
peach 1
people 1
periodically 1
persuades 1
pit 1
plan 1
presence 1
prevent 1
previous 1
punishment 1
queen 5
reaches 1
refuses 1
rest 1
reveals 1
said 1
same 1
secrecy 1
sees 1
serve 1
she 3
size 1
skeptical 1
snozzcumber 1
snozzcumbers 1
something 1
sophie 7
speaks 1
special 1
staff 1
start 1
stated 1
steal 1
story 4
street 1
strictest 1
struggle 1
subsists 1
sugar 1
sultan 1
summons 1
sweden 1
table 1
that 3
the 60
their 3
them 6
themselves 1
then 2
there 1
therefore 1
they 3
this 2
those 1
though 1
thousands 1
through 1
ties 1
to 21
travel 1
true 1
trumpetlike 1
two 1
under 1
unties 1
unusual 1
up 1
use 1
uses 1
vegetable 1
via 1
visited 1
watching 1
when 2
where 1
which 6
while 2
whizzpoppers 1
who 2
will 2
wind 1
window 1
windows 1
witching 1
with 5
wonderful 1
world 2
writes 1
