24852536
/m/09glxwc
/m/09glxwc
Raymond E. Feist
1999-09-06
{"/m/01hmnh": "Fantasy"}
a 16
admiral 1
agents 2
aid 1
alive 1
ambush 1
an 1
and 19
another 1
approach 1
are 2
army 2
arrive 1
arrives 1
arutha 4
as 3
assassin 1
attempted 1
attempts 1
back 3
be 3
behind 2
between 1
books 1
but 1
by 3
captured 3
cause 1
caused 1
causing 1
chaos 1
chest 2
commissioned 1
complication 1
confront 1
controlling 1
crawler 2
creature 1
criminal 1
crown 1
damage 1
dark 1
daughter 1
defeated 2
demon 3
discover 1
discovered 1
disguise 1
documents 2
door 1
duke 3
during 1
eastern 2
enter 1
escort 1
escorting 1
ethan 1
few 1
find 1
for 4
force 1
forced 1
from 2
further 3
graves 1
group 1
havoc 1
he 3
help 2
him 2
his 4
hunt 1
imbued 1
in 4
inspection 1
instead 1
intended 1
is 12
it 1
james 3
jimmy 2
katala 1
keep 1
kesh 1
keshian 1
kills 1
knightlieutenant 1
krondor 3
lead 1
lives 1
location 1
loosed 1
lot 1
magic 1
magical 1
magician 1
magicians 1
main 1
man 1
manages 2
many 1
march 1
meanwhile 1
meets 1
met 1
mockers 3
murder 1
murders 1
must 1
nest 2
night 1
nighthawks 3
nobles 3
of 16
olasko 2
on 3
one 2
open 1
orders 1
out 2
outpost 1
palace 1
panthers 1
plaguing 1
port 1
power 1
prandur 1
priest 1
prince 3
princes 1
pug 1
readied 1
results 1
revealed 1
reveals 1
ritual 1
rival 1
roldem 2
sacrifice 1
saving 1
scouts 1
sealed 1
search 1
sends 1
sidi 1
soldiers 1
some 1
something 1
son 2
soon 1
squad 1
squire 1
summoning 1
supposed 1
swiftly 1
sword 1
takes 1
that 4
the 33
their 1
them 2
then 1
there 2
they 3
ties 1
to 12
translation 1
trask 1
turn 1
turns 2
two 1
unconfirmed 1
under 1
unexplained 1
until 1
upright 1
upset 1
used 1
vikor 1
vladik 1
waged 1
wait 1
war 1
which 3
while 2
who 2
will 1
william 4
wing 1
with 5
