32032353
/m/0gw_r5z
/m/0gw_r5z
Dav Pilkey
2011-08-10
222 1
2222 4
a 9
about 2
accused 1
actually 1
after 4
agreed 1
all 4
already 1
also 3
an 1
ancient 1
and 57
angered 1
anonymous 1
answer 2
answered 3
anything 2
anyway 1
are 2
argued 1
as 4
asked 1
at 4
attack 1
award 2
awarded 1
away 1
baby 5
back 3
based 2
be 4
became 2
because 1
become 1
becoming 1
before 1
begins 1
being 2
belts 5
betrays 1
black 1
book 3
both 1
brilliantest 1
building 1
buildings 1
but 4
by 2
called 2
captured 1
cavekids 2
caveland 4
cavemen 10
cavewife 1
ceo 1
changed 1
chief 4
children 1
claimed 1
coexist 2
constantly 1
correct 1
creators 1
daughter 1
days 3
denied 1
descendent 1
destroy 1
destroyed 2
dictator 1
did 3
dinosaurs 2
disagreed 1
disappear 1
disappearing 2
discovered 1
discoveries 1
do 2
each 1
entered 2
enterprises 4
errors 1
escape 1
every 2
everything 1
evidence 1
exchief 1
explosive 1
faces 1
facts 1
father 1
favorite 1
fell 2
fight 1
finally 4
first 1
flower 1
followed 1
for 4
forced 2
found 1
free 1
friends 1
from 4
gak 3
gaylord 1
george 1
get 2
give 2
gluk 21
goes 1
going 1
good 2
goppernopper 19
goppernoppers 10
got 2
greatest 6
greatgrandfather 1
greatness 1
grew 1
guards 2
guesses 1
gun 1
guy 1
had 3
handcuffed 1
happily 1
happy 1
harold 1
has 1
hated 1
have 2
having 1
he 9
help 1
her 3
hero 1
hid 1
him 4
himself 1
his 8
home 1
how 3
however 1
idea 1
if 1
in 8
into 1
introduction 1
is 11
it 3
jones 1
jp 7
kids 2
kill 3
killed 2
killing 1
know 1
kungfu 5
kungfued 1
lan 7
learned 1
letter 1
lily 10
live 1
lives 1
living 1
love 3
m 1
made 1
make 1
making 2
man 7
many 1
marry 1
master 11
matter 1
mechanical 3
mechasaurs 3
melvin 1
met 1
minds 1
mogmog 7
most 1
mother 1
named 2
natural 2
new 3
no 3
nobody 2
not 3
now 1
of 14
official 1
ohio 1
on 5
one 1
only 2
ook 24
order 1
ordered 1
other 1
out 1
part 1
past 1
peace 2
pictures 1
pleaded 1
plot 1
polluted 1
portal 3
professor 1
property 1
prove 1
pteranodon 1
question 3
raised 1
ran 1
ray 1
realized 2
really 1
recipient 1
release 1
releasing 1
remember 1
remembered 1
replaced 1
requested 1
resources 2
rest 1
returned 4
reunited 1
rex 2
right 2
ruined 1
said 6
same 1
save 1
saw 1
says 1
schadowski 1
school 1
schools 1
science 2
scientific 1
scientists 1
searched 1
sent 1
she 1
shoveling 1
since 4
sister 2
slaves 3
sneedly 2
so 4
soon 2
spraypainted 3
started 1
steal 1
story 1
t 1
tank 1
teachings 1
telling 2
that 15
the 50
their 5
them 13
themselves 2
then 7
there 3
therefore 1
these 1
they 19
thing 1
this 4
those 1
through 1
tied 1
time 4
timetraveled 2
titles 1
to 26
together 1
told 1
took 2
torture 1
town 1
trained 1
training 2
triceratops 1
trophies 1
true 2
two 3
tyrannosaurus 1
under 1
until 2
up 4
used 1
value 2
victory 1
village 1
vowed 1
walked 1
walks 1
was 6
wedding 1
were 3
when 3
where 1
which 2
while 1
who 7
whole 1
wide 1
will 6
with 12
without 1
witnessed 1
wondered 2
wong 11
wongs 3
wont 1
worked 1
world 4
year 2
zaps 1
