290207
/m/01qh59
/m/01qh59
Gary Wolf
1981
a 6
after 1
and 2
apparently 1
baby 1
balloon 1
brothers 1
cartoon 2
censoring 1
character 1
costar 1
crime 1
degreasy 1
eddie 1
employers 1
explain 1
eye 1
find 1
for 1
former 1
found 1
give 1
had 1
hardboiled 1
have 1
heard 1
herman 1
him 1
hires 1
his 7
home 1
in 1
including 1
indicates 1
is 3
jessica 1
just 1
killer 1
murder 1
murdered 1
mysteriously 1
of 4
on 2
out 1
own 1
owners 1
private 1
promise 1
rabbit 3
reneged 1
roger 3
rogers 1
scene 1
search 1
secondbanana 1
sleazy 1
someone 1
soon 1
source 1
speech 1
star 1
strip 1
success 1
suspects 1
syndicate 1
takes 1
the 7
to 3
valiant 2
valiants 1
variety 1
was 1
way 1
who 1
why 1
widow 1
