4309603
/m/0bwcyc
/m/0bwcyc
Arthur Ransome
1943
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 7
accomplish 1
adventures 1
amazon 1
and 7
are 2
at 3
attempts 1
aunt 6
avoid 1
away 1
back 1
be 2
beckfoot 2
become 1
been 3
before 1
being 1
blackett 3
blacketts 1
bought 1
can 1
care 1
catch 1
civilize 1
come 1
cruise 1
cry 1
cspiktov 1
decides 1
deliver 1
despite 2
dinghy 1
dog 1
ds 4
embarrassment 1
end 1
father 1
find 1
finds 1
for 4
ga 1
gets 1
girls 1
goes 1
great 6
has 2
have 2
health 1
her 8
holiday 1
holidays 1
home 2
however 1
hue 1
hut 1
identities 1
in 3
insists 1
invited 1
is 2
learn 1
left 1
letter 1
manage 1
manages 1
managing 1
maria 1
martyrs 1
meet 1
missing 1
mother 1
move 1
mrs 1
muednci 1
nancy 2
near 1
not 1
number 1
of 5
on 1
only 1
out 2
people 1
picts 1
pirates 1
praised 1
questioned 1
revealing 1
sail 1
save 1
scarab 1
search 1
secretive 1
seeing 1
sent 1
she 3
shouldnt 1
slipping 1
small 1
so 1
some 1
spoiled 1
start 1
stay 1
summer 1
suspects 1
swallows 1
take 1
that 3
the 21
their 2
them 2
there 1
they 6
time 1
to 13
train 1
unaware 1
visit 2
when 1
which 1
while 4
who 1
will 2
woods 1
