12615281
/m/02wy1cl
/m/02wy1cl
Dallas Willard
2002

a 1
addictions 1
alignment 1
and 6
another 1
apprenticeship 1
are 1
argues 3
be 1
being 1
body 3
can 1
christ 1
collection 1
components 2
context 1
corrected 1
dominance 1
feelings 3
for 1
function 1
futile 1
god 2
has 1
heart 3
how 1
human 1
identity 1
ie 1
in 1
interrelated 1
is 3
jesus 1
largely 1
made 1
mind 1
of 8
one 10
or 3
popular 1
proposes 1
pursuits 1
rejection 1
renovates 1
renovation 1
resulted 1
self 1
several 1
social 1
soul 1
spirit 1
stimulation 1
subordinated 3
subordination 1
that 4
the 9
those 1
thoughts 1
through 1
to 4
up 1
whether 1
which 1
whole 1
will 1
willard 3
