2301984
/m/0726fk
/m/0726fk
Poul Anderson
1989-11
a 4
about 1
across 1
after 1
ancient 1
and 3
as 1
avoid 1
begin 1
being 1
civilizations 1
consequently 1
create 1
crew 1
culture 1
ensuing 1
explore 1
family 1
find 1
fit 1
follows 2
form 1
from 1
future 1
galaxy 1
gift 1
gradually 1
group 1
human 1
humanity 1
immortality 1
immortals 3
in 2
killed 1
like 1
lives 1
longer 1
meet 1
most 1
new 1
no 1
novel 2
of 5
or 1
others 1
past 1
quiet 1
relate 1
remain 1
rest 1
result 1
secret 1
semidistant 1
sharing 1
sorts 1
starship 1
ten 1
the 10
their 3
themselves 1
they 3
throughout 1
to 6
try 1
various 1
with 1
within 1
world 1
years 1
