20056848
/m/04ycytl
/m/04ycytl
Robert Muchamore
2010-09
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature"}
2004 1
a 16
abdullah 5
about 2
act 1
adams 2
after 3
agent 2
agrees 1
aizat 1
also 3
an 2
and 18
are 1
as 5
assisting 1
bayliss 1
be 1
because 1
become 1
begins 1
being 1
bethany 2
between 1
biker 1
blueman 1
book 2
boxing 1
boy 1
breached 1
briefing 1
brigands 2
bring 1
british 1
broken 1
bruce 1
built 1
by 1
california 1
campus 3
cancer 1
cellphone 1
chang 1
charity 1
cheated 1
cherub 6
choke 1
clean 1
cliff 1
club 1
college 1
comes 1
continuing 2
could 1
course 1
custody 1
dad 1
damaging 1
dana 1
daughter 1
david 1
day 1
deal 2
defence 1
demolishing 1
device 2
did 1
died 1
disaster 1
disgusted 1
donnington 1
down 2
during 1
early 1
eleventh 1
embarrass 1
embarrassing 1
ends 1
epilogue 1
escape 1
evacuate 1
even 1
eventually 1
expelled 1
falling 1
family 1
father 1
fhrer 2
figure 1
finds 1
first 1
for 3
former 1
friend 1
friends 1
from 4
girlfriend 3
go 2
going 1
government 1
grave 1
guilt 1
gwen 2
has 1
have 2
he 7
headstone 1
helena 1
her 2
him 2
his 10
hotels 2
how 2
hugh 1
if 1
important 1
in 12
including 1
installs 1
intensive 1
interpreter 1
into 2
invites 1
is 8
it 1
its 1
james 13
join 1
joins 2
journalist 1
kerry 5
kevin 2
kyle 4
lauren 5
leader 1
leave 2
leaves 2
leg 1
locations 1
london 1
lot 1
luxurious 1
make 1
malaysia 1
malaysian 1
mc 1
meatball 1
meet 1
meets 2
met 2
mi5 1
minister 1
mission 4
more 1
morning 1
motorcycle 1
name 1
named 1
native 1
negotiating 1
norris 1
not 1
now 1
of 10
old 1
on 5
one 1
outside 1
paparazzi 1
parker 2
phone 1
police 2
previous 1
prison 1
proud 1
puppies 1
quits 1
rakyat 1
ralph 1
relationship 1
released 1
retired 2
returns 2
revealed 1
ron 1
room 1
runner 1
said 1
scheme 1
school 1
secombe 1
security 1
see 1
seeing 1
seriously 1
setup 1
shadow 1
she 3
shopping 1
shortly 1
sister 1
smith 1
sneaks 1
some 1
someone 1
son 2
staff 2
stanford 2
struck 1
sumner 1
surround 1
suspicious 1
taken 1
tan 3
tells 2
textbooks 1
that 3
the 20
their 1
them 6
then 1
therefore 1
they 2
though 1
three 2
throat 1
to 16
together 1
told 1
tracking 2
training 1
tries 1
trip 1
trips 1
trying 1
tsunami 1
uk 1
undercover 1
university 2
up 3
used 1
using 1
verhoeven 1
very 1
villagers 1
villages 1
visit 2
was 2
wave 1
way 1
weapons 2
wedding 1
well 1
when 5
who 4
with 7
working 2
would 1
year 2
young 1
younger 1
