14971527
/m/03h3c63
/m/03h3c63
Desmond Bagley
1982
a 8
afterwards 1
agrees 1
airport 1
all 1
amok 1
amusement 1
an 5
and 12
are 2
arson 1
as 2
at 3
attempts 1
baggage 1
bahamas 3
bahamian 1
based 1
be 1
beach 1
beautiful 2
been 2
better 1
billy 1
body 1
business 2
by 1
car 1
carousels 1
center 1
children 1
college 1
companies 1
company 1
conglomerate 1
connected 1
corporation 2
could 1
cousin 1
cunningham 3
cunninghams 1
daughter 1
daughters 1
day 1
days 1
debbie 1
developing 1
disappears 1
disaster 1
discovers 1
disease 1
dispute 1
down 1
events 2
form 1
friend 1
from 4
future 1
growing 1
harvard 1
has 1
have 2
he 3
heavily 1
his 6
hotels 2
however 1
hundreds 1
in 4
industry 2
invest 1
involves 1
is 3
it 1
itself 1
labor 1
legionnaire 1
major 1
mangan 4
marinas 1
miles 1
murderer 1
mysterious 1
mysteriously 1
nation 1
not 2
of 8
oil 2
old 1
on 1
one 2
operating 1
ownerpresident 1
owners 1
partnership 1
plot 1
ranging 1
rash 1
rental 1
resort 1
riot 1
running 1
school 1
seemingly 1
should 2
slick 1
soon 1
strike 1
strikes 1
striking 1
successful 1
tanker 1
texas 1
that 2
the 17
them 1
these 1
things 1
to 3
tom 1
tourist 2
track 1
two 1
unprecedented 1
unrelated 1
up 1
visited 1
wants 1
washes 1
wealthy 1
where 2
white 1
wife 3
with 2
yacht 2
younger 1
