17271493
/m/043km4w
/m/043km4w
Lisa See
2005
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
103 1
1th 1
20 1
40 1
80 1
a 15
acts 1
addition 1
after 1
all 2
although 2
an 1
and 17
another 1
approximately 1
are 4
as 4
aspect 1
at 2
attempts 1
aunt 1
back 1
be 2
beatings 1
beautiful 1
bedside 1
been 1
believing 1
betrayal 1
betrays 1
binding 2
bodies 1
book 2
born 1
both 1
but 1
butcher 1
by 3
called 1
cause 1
century 1
children 3
choice 2
close 1
comes 2
companionship 1
considered 2
considers 1
constrictions 1
culturally 1
daughter 1
dead 1
death 1
depicts 1
describes 1
destroying 1
detailed 1
died 1
differ 1
different 1
down 1
during 1
dying 2
emotional 1
end 1
escape 1
estimate 1
eternal 1
everywhere 1
experience 2
family 3
fan 1
feet 2
fidelity 1
filled 1
firmly 1
flower 8
fly 1
foot 2
for 2
forgive 1
form 1
formerly 1
fortunate 1
four 1
free 1
friend 2
friends 1
from 3
generation 1
girls 1
ground 1
group 1
hand 1
harm 1
has 4
have 2
healthy 1
her 15
home 1
horrors 1
horse 1
human 1
hunan 1
husband 3
in 9
inability 1
inflict 1
influential 1
into 1
is 10
itself 1
killed 1
known 1
lady 1
language 1
laotong 4
later 1
learn 1
letters 1
life 1
lily 10
lived 1
lives 2
love 1
low 1
lowest 1
lu 1
made 2
major 1
many 2
marriage 2
marries 1
match 1
million 1
miserable 1
more 1
most 3
mother 1
mountain 1
mountains 1
n 2
need 1
next 1
not 3
novel 1
number 1
of 18
old 1
on 3
one 3
only 1
order 1
over 1
own 1
pain 1
painful 2
pair 1
people 2
phonetic 1
physical 1
play 1
powerful 1
practical 1
present 1
private 1
process 1
professions 1
property 1
prosperous 1
province 1
psychological 1
purpose 2
quietly 1
quite 1
region 2
relationship 3
relatively 1
reputation 1
return 1
returns 1
revolution 2
role 1
rural 1
same 1
secret 1
secrets 1
set 1
sharing 1
she 4
shu 2
sign 1
since 1
snow 8
so 1
some 1
songs 1
sons 2
station 1
stories 1
suffering 3
taiping 1
tends 1
terrible 1
than 1
that 2
the 35
their 2
they 1
this 1
three 1
time 2
to 15
trail 1
treated 1
treatment 1
trek 1
true 1
two 1
under 1
until 1
up 1
virtually 1
was 1
watches 1
way 1
ways 1
well 1
were 1
what 1
when 1
which 1
while 1
who 2
whose 1
wife 1
with 3
woman 2
women 5
write 1
writing 1
year 1
years 1
young 1
