4817631
/m/0cphrg
/m/0cphrg
James White

a 7
about 1
accident 1
accordance 1
add 1
allow 1
amputate 1
and 4
approaches 1
arm 1
as 1
assist 1
at 1
befriends 1
bravely 1
by 2
causes 1
cha 2
chalder 1
chaos 1
complete 1
contact 1
crashlanded 1
custom 1
customs 2
cuts 1
cutting 1
decides 1
deliberately 1
department 1
derelict 1
despite 1
due 1
established 1
every 1
finds 1
first 1
following 1
general 1
given 1
havoc 1
healer 3
her 8
his 2
honor 1
hospital 1
however 1
hudlar 1
human 1
hypochondriac 1
in 2
innocently 1
instincts 1
invited 2
is 4
its 1
join 1
khone 1
knowledge 2
lack 1
life 1
limb 2
near 1
next 2
nonexistent 1
now 1
obliges 1
of 6
off 1
omara 1
on 2
operation 1
own 1
parasite 1
patient 1
patients 1
people 1
physiology 1
pilot 1
planet 1
prolong 1
protagonist 1
refuses 1
saved 1
saves 1
sector 1
see 2
she 7
so 1
social 2
sommaradvan 1
spaceship 1
species 2
staff 2
star 2
still 1
story 1
surgery 1
the 11
their 2
then 2
therapeutic 1
thrat 2
to 7
untouchable 1
unusual 1
values 1
virtually 1
was 1
weird 1
well 1
when 1
which 1
who 1
will 1
with 2
wreaks 1
