8729647
/m/027glm8
/m/027glm8
Georgette Heyer
1938
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
21yearold 1
a 1
after 1
and 3
as 1
at 1
battle 1
by 1
can 1
charles 2
comes 1
commonwealth 1
corrupt 1
cromwell 1
decides 1
die 1
disguise 1
england 1
english 1
execution 1
fail 1
father 1
for 1
france 1
free 2
from 1
grown 1
he 2
himself 1
his 4
i 1
ii 1
its 1
king 1
kingdom 1
leaders 1
leave 1
men 1
miserably 1
monarchy 1
of 4
oliver 1
peasant 1
power 1
rather 1
realm 1
restore 1
right 1
rule 1
sit 1
so 1
than 1
the 8
time 1
to 3
trying 1
two 1
tyrannical 1
under 1
watch 1
when 1
worcester 1
would 1
years 1
