18427724
/m/04f4jlr
/m/04f4jlr
Marie-Claire Blais
1959

52 1
a 4
abandoning 1
abandons 1
about 1
accept 1
activities 1
afterwards 1
an 1
and 15
anger 2
anne 1
announces 1
another 2
are 1
as 19
asylum 1
attention 3
be 1
beastlike 1
beautiful 2
beauty 3
become 1
becomes 3
been 1
begins 2
being 2
belle 1
beloved 1
blind 1
boiling 1
both 2
bringing 1
brings 2
brother 1
brought 1
bte 1
but 2
by 4
can 2
care 2
characters 2
child 3
children 1
childrens 1
choice 1
chosen 1
cinderella 1
cleaves 1
comes 1
commits 1
consequently 1
constant 1
consumed 1
continued 1
continues 1
control 1
controlled 1
controlling 1
convinces 1
cracking 1
cries 1
daily 1
death 1
demands 1
dependence 1
dependency 1
despair 1
deterioration 1
disappears 1
disillusioned 1
distaste 1
do 1
drives 1
drowns 1
end 1
ends 1
entirely 1
equipment 1
escapes 1
established 1
even 1
eventual 1
eventually 2
ever 1
face 3
family 2
farm 2
fawns 1
fed 1
figure 1
finds 1
fire 2
for 4
found 2
freedom 1
from 4
further 2
grows 1
hard 1
has 2
he 4
her 24
here 1
hideous 1
him 4
himself 1
his 9
home 4
however 1
husband 1
immediately 1
in 4
incompetence 2
incompetent 1
insane 1
into 3
is 8
isabellemarie 11
jealously 1
la 1
lake 1
land 1
lanz 6
learns 1
leaves 1
let 1
life 3
live 1
lives 2
living 1
longer 2
loss 1
lost 1
louise 9
love 1
lover 1
lowly 1
lying 1
main 1
makes 1
meets 1
michael 3
more 2
mother 4
needs 1
neglected 2
new 3
newborn 1
no 2
nothing 1
now 1
of 11
off 2
on 4
once 1
one 3
opportunity 1
outer 1
over 3
own 1
patrice 13
patrices 1
pg 1
physical 1
pick 1
pity 1
pot 1
push 1
pushes 1
quickly 1
reflection 1
regains 1
rejoices 1
relationship 1
relationships 1
release 1
relishes 1
respond 1
return 2
returns 2
reveal 1
sees 1
sent 1
setting 1
she 11
shortly 1
side 1
situation 1
slightly 1
slowly 1
so 2
spirals 1
spirit 1
splits 1
starts 1
starve 1
status 2
stories 1
story 1
suicide 1
support 1
takes 1
terms 1
that 4
the 19
their 7
them 1
there 1
they 1
three 1
thus 1
to 19
torn 1
towards 2
tracks 1
train 2
travel 1
two 1
ugliness 1
ultimate 1
under 1
unwanted 1
up 3
upbeat 1
vast 1
vision 1
water 1
well 2
when 2
while 3
who 4
with 9
working 1
