1655469
/m/05l1cl
/m/05l1cl
Robert Caro
1974
130s 1
1336 1
a 9
about 1
achievements 1
advocate 1
after 1
aggressive 1
aided 1
al 1
amassed 1
ambivalent 1
ample 1
an 2
and 14
as 4
aside 1
assembly 1
assertions 1
at 2
attempted 1
automobile 1
be 2
beautiful 1
became 1
because 1
big 1
biography 1
book 2
both 1
bridge 1
bridges 1
broker 1
bureaucrat 1
but 1
by 2
caro 7
childhood 1
city 5
civil 1
clear 1
commissioner 1
community 1
compensation 1
conclude 1
connecticut 1
considered 1
consistently 2
construction 1
contempt 1
corrupt 1
creator 1
credit 1
deal 2
death 1
dependent 1
documentation 1
done 1
dreams 1
earlier 2
early 1
earned 1
elected 1
eloquence 1
enriched 1
experience 1
fact 1
failures 1
favored 1
focuses 1
for 6
from 2
full 1
future 2
gay 1
getting 1
gives 1
governor 1
great 1
had 2
handson 1
happen 1
have 1
he 5
him 3
his 10
history 1
how 1
human 1
idealistic 1
ideals 1
if 2
in 8
includes 1
indeed 1
individuals 1
instances 1
instead 1
integrity 1
intelligence 1
introduction 1
is 3
it 3
its 2
itself 1
jimmy 1
jobs 1
king 1
large 1
later 2
life 3
like 2
lived 1
longsought 1
make 2
making 1
management 1
manuscript 1
many 3
mass 1
mayor 1
monumental 1
moses 7
most 1
much 1
narrative 1
necessary 1
needed 1
needs 1
new 5
nineties 1
normal 1
of 15
officials 1
on 2
only 2
onward 1
original 1
over 2
own 1
pages 1
paints 1
parks 2
pays 1
person 1
political 1
portrait 1
possessed 1
power 3
price 1
principles 1
private 1
progressive 1
projects 2
provides 1
public 2
readers 1
reality 1
really 1
reform 1
refute 1
reputation 2
responsive 1
right 1
roads 1
save 1
says 1
scholarly 1
senate 1
served 1
service 1
set 1
shrewdness 1
similarly 1
single 1
smith 1
so 1
some 1
somewhat 1
state 3
style 2
subject 1
supporters 1
supposedly 1
system 1
taught 1
that 7
the 18
them 1
there 1
those 1
through 1
to 9
traces 1
traffic 1
transcending 1
transit 1
tribute 1
twothirds 1
ultimately 1
unelected 1
verrazanonarrows 1
view 1
walker 1
was 1
which 1
while 2
who 2
whom 1
without 1
work 1
worked 1
working 1
would 1
years 2
york 5
