33268882
/m/0h3n341
/m/0h3n341
Chetan Bhagat
2011
2 1
20 1
2020 2
a 23
aarti 16
about 2
accepts 1
according 1
acquires 1
action 1
actually 1
after 1
again 2
aieee 2
air 1
all 3
allows 1
also 2
always 1
ambitions 1
amends 1
an 4
and 24
are 2
article 1
as 4
aspiring 1
at 1
background 1
bad 1
bear 1
become 1
becomes 2
been 1
before 1
begins 1
being 1
believe 1
belongs 1
better 2
between 1
birthday 2
bitch 1
bond 1
both 1
boy 1
bring 1
bringing 1
brings 1
brought 2
bureaucratic 1
but 4
by 1
called 2
can 1
cannot 1
capital 1
cause 1
change 1
childhood 3
city 1
classes 1
closest 1
coaching 1
college 3
collegegangatech 1
comes 1
completely 1
confesses 1
consequently 1
controversy 1
corrupt 3
corrupted 1
crore 1
dainik 1
damage 1
deal 1
debts 1
deeper 2
develops 2
dies 1
difference 1
difficulties 1
director 1
disputed 1
disrupting 1
dream 1
due 2
each 1
educational 1
else 1
emotional 1
engineering 3
entrance 2
eventually 2
exam 1
examination 1
exams 2
fact 1
failing 1
fails 1
failure 1
family 3
famous 1
father 2
finally 1
financial 1
finishes 1
for 7
forced 2
formed 2
friend 1
friends 4
friendship 1
from 3
fulfill 1
future 1
ganga 2
gangatech 1
gap 1
get 1
gets 1
gift 1
girls 1
given 2
gives 1
global 1
go 2
good 1
gopal 26
guest 1
habits 1
had 4
happy 1
have 1
he 15
heartbroken 1
her 6
him 5
himself 2
his 12
hold 1
holy 1
hostess 1
hotel 1
house 1
however 2
iitjee 1
illegal 1
in 13
india 2
indian 1
innocence 1
institution 1
interest 1
invites 1
is 14
it 2
itbhu 1
job 1
joins 1
joint 1
journalist 1
keshav 3
kota 2
lakhs 1
land 2
learn 1
learns 1
leaves 1
leaving 2
let 1
life 5
like 1
longer 1
love 5
loved 1
loves 1
make 3
makes 1
man 3
manager 1
married 1
may 1
meanwhile 1
meets 2
middleclass 1
mla 1
more 3
move 1
nearly 1
new 1
newly 1
newsletter 1
newspaper 1
no 2
not 1
novel 1
of 13
off 1
office 1
on 3
only 2
opens 1
orphan 1
other 1
over 1
own 2
pain 1
pass 1
past 1
plan 1
political 2
poor 1
popular 1
possessed 1
problematic 1
proceeds 1
prostitutes 1
proves 1
publishes 1
publishing 1
quote 1
raghav 18
ramada 1
realizes 2
relationship 2
repeated 1
reporter 1
reputation 1
resembles 1
resign 1
reveals 1
revolution 4
rezoning 1
romantic 1
sacked 1
same 1
scam 2
scores 1
scrapbook 2
seeking 1
sees 1
set 1
she 3
shukla 5
so 3
some 1
someone 1
son 1
spending 1
spite 2
start 1
starts 2
still 1
story 1
studies 1
succeeds 1
successful 1
surprised 1
system 2
taking 1
technology 1
tell 2
that 15
the 26
their 1
them 2
then 3
there 2
think 1
thinks 1
this 1
thought 1
three 2
time 2
to 26
totalling 1
trainee 1
treatment 1
two 1
undertake 1
uneducated 1
university 1
varanasi 1
very 1
vows 1
wanting 1
wants 1
was 2
way 1
wealth 1
well 1
were 1
when 3
whereas 1
which 2
who 1
will 1
winning 1
with 5
woman 1
work 1
workings 1
world 1
worth 1
wrongdoings 1
you 1
young 1
