25363289
/m/09g9sqn
/m/09g9sqn

1998
{"/m/03mfnf": "Young adult literature"}
17yearold 1
a 7
aboriginal 2
afterwards 1
all 1
almost 1
along 1
also 1
an 1
and 6
are 1
as 1
attack 1
attacked 1
attacks 1
attempt 1
australia 1
be 1
because 1
been 1
board 1
boat 1
brother 2
but 1
buys 1
by 3
called 1
came 1
captain 2
cliff 1
collins 1
computer 1
creature 5
depths 1
destroy 1
disappeared 1
eating 1
encarved 1
escape 1
explains 1
find 1
finds 1
fishing 1
for 1
games 1
geologist 1
girl 1
go 2
gone 1
had 1
has 3
he 1
her 2
his 2
in 4
into 1
is 2
just 1
kids 1
killed 1
killer 1
kills 1
living 1
location 1
longneeded 1
loves 1
making 1
maruul 2
mcphee 1
mechanically 1
missing 1
mystery 1
named 1
near 1
nicknamed 1
noise 1
of 5
on 1
opal 1
out 1
owner 1
passing 1
pc 3
peter 1
plans 1
playing 1
pretend 1
reef 2
resources 1
returns 1
riddle 2
says 1
screeching 2
searching 1
she 2
ship 2
shop 1
signaled 1
snakes 1
solve 1
sound 1
story 1
strange 1
suddenly 1
takes 1
terrible 1
that 3
the 21
their 1
them 1
there 2
they 3
to 8
told 1
treasure 4
treasurean 1
tribe 1
tricks 1
two 1
uncle 2
village 2
wallall 1
wally 1
wallygong 1
was 2
which 1
while 1
who 1
with 2
young 1
