18244814
/m/04cqyl3
/m/04cqyl3
Kim Sterelny
2001

10 1
11 1
12 1
13 1
15 1
173 1
187 1
2 2
3 1
4 2
5 1
500 1
50000 1
505 2
518 1
520 1
522 1
543 1
570 1
6 1
600 1
65 1
8 1
a 121
ability 2
abjudication 1
about 23
above 2
absence 1
absolutely 1
accept 2
accepted 2
accepts 4
accidents 1
accompanying 1
account 2
accumulate 1
accumulation 2
accuracy 1
act 1
acting 1
action 2
acts 1
adaptation 6
adaptationism 1
adaptationist 1
adaptations 4
adapted 2
adaptive 4
adaptiveness 1
adaptivity 1
additive 1
adherence 1
advantageous 1
advantageously 1
affected 1
affecting 1
after 1
again 2
against 3
age 2
agenda 1
aggregate 1
aggression 1
ago 6
agrees 1
aimed 1
albeit 1
alive 2
all 14
alliances 2
allies 2
allow 1
allows 1
almost 1
alone 1
along 2
already 1
also 10
alter 1
alterations 1
alternative 1
although 5
altruism 1
always 1
ambiguous 1
among 2
amount 1
amounts 1
an 27
ancestor 3
ancestors 1
ancestral 1
ancient 1
and 197
animal 15
animals 6
animalsover 1
another 3
anthropocentric 1
anthropologists 2
any 5
apart 2
apparently 1
appear 1
appearance 3
appeared 2
appearing 1
application 2
applies 1
appreciation 1
approach 3
approaches 4
are 89
argue 3
argued 5
argues 10
argument 4
arise 1
arisen 1
arising 1
arms 3
around 1
array 1
arrow 2
as 68
ascribing 1
aspect 2
aspects 4
assembling 1
asses 1
assist 1
assume 2
assumptions 1
asteroid 1
at 25
atheist 1
attainable 1
attempt 1
attempts 1
attitude 1
attitudes 2
atypical 1
author 1
authority 1
authors 3
available 3
average 3
avital 1
avoiding 1
back 1
background 1
bacteria 4
bacterial 1
bacterium 1
bad 6
banal 1
base 1
based 1
basic 4
basis 2
bats 1
be 26
beak 1
became 1
because 7
become 5
becomes 2
becoming 1
been 13
beetle 1
before 1
began 1
beginning 1
begins 2
behaviour 4
being 6
belief 1
beliefs 1
belies 1
best 2
bet 3
bets 1
better 3
betting 1
between 29
beyond 2
biased 1
biases 2
billion 1
biochemistry 1
biological 7
biologically 1
biologists 1
biology 15
biomass 1
bit 1
bivalves 1
blood 1
blurred 1
bodies 1
body 5
bony 1
book 1
books 1
both 15
bound 3
boundaries 2
boundary 1
bounds 1
boyd 1
brachiopods 1
brain 1
brains 1
brake 2
branch 1
branches 1
break 2
breaking 1
broad 3
broader 1
broken 1
building 3
builds 1
built 1
burgess 5
burrows 1
burst 1
bursts 1
but 53
by 43
byproduct 2
calibrating 1
call 1
calls 1
cambrian 19
camp 1
campaign 2
can 15
cannot 2
capable 1
carefully 1
carrying 1
case 6
cases 2
catastrophes 1
causal 1
caused 2
causing 1
caution 1
caveats 1
ceased 1
cell 2
cellular 1
central 5
certainly 4
chalice 1
challenge 1
challenges 1
chance 3
chances 1
change 32
changed 2
changes 6
chapter 17
characterised 1
characteristics 3
chemistry 2
chengjiang 2
china 2
chordates 1
chunk 1
chunks 1
cites 1
cladistics 1
cladists 2
claim 6
claiming 2
claims 11
clarify 1
classes 1
classifications 1
clear 1
climatic 1
climbing 1
clock 2
clocks 2
close 3
closely 1
closer 1
collaborators 1
colonisation 1
combinations 1
comes 2
commentary 1
committed 1
common 5
community 1
compatible 1
competition 2
competitive 2
compexity 1
complex 13
complexes 2
complexity 20
comprehensive 1
comprise 1
comprising 1
concedes 1
conception 4
concern 2
concerned 1
concerning 1
concerns 1
conditions 3
confined 1
conflicts 1
conjectural 1
connected 1
consensus 1
consequences 3
conservatism 1
conservative 1
conservativeness 1
consider 1
considerably 1
consideration 1
considered 1
considers 1
constitute 1
constrained 2
constraints 4
constructed 1
constructing 1
construction 3
containing 1
contains 1
contemporary 7
context 7
contingency 2
contingent 1
contrast 4
contrasts 2
contributes 1
convergence 1
convergent 2
conversely 5
convincing 1
conway 1
cooperation 2
core 2
could 2
count 4
course 3
covering 1
creating 1
creation 1
creature 1
creatures 1
cretaceouspaleogene 1
criticism 1
crucial 2
culling 1
cultural 5
cumulative 1
current 4
curve 2
cycle 2
damping 1
danger 2
dangerous 1
dark 1
data 1
date 2
dated 1
dates 2
dating 1
daughter 2
dawkins 44
death 2
debate 2
debates 1
decide 1
decreased 1
deep 2
deepest 1
deeply 1
delivers 1
demonstrate 1
demonstrated 1
deny 2
depend 1
dependence 1
dependent 3
depending 1
depends 3
deployment 1
descendant 1
describe 2
describes 3
despite 5
detail 1
detailed 1
detect 1
detectable 1
determines 1
determining 1
determinism 2
determinists 1
developed 2
developing 1
development 8
developmental 11
developmentally 1
develops 1
differ 2
difference 7
differences 3
different 12
differentiation 2
difficult 3
dimorphism 1
dinosaurs 3
direct 1
direction 2
directional 3
directionality 1
disagreement 3
disappeared 2
disciplined 1
discontinuous 1
discover 1
discoverer 1
discovers 1
discrete 1
discusses 9
discussing 4
discussion 3
discussions 1
disparate 1
disparity 15
displayed 1
disputing 1
disrupted 1
dissimilarity 1
distance 1
distaste 1
distinction 3
distinctions 1
distinctive 3
distorted 1
distribution 1
divergence 1
diverse 1
diversity 8
dna 1
do 10
does 16
doings 1
dolphins 1
domain 4
domains 2
dominant 2
dominate 2
dont 2
door 1
dormancy 1
dormant 1
doubly 1
doubted 1
doubts 1
down 1
drift 2
drifts 2
due 2
during 1
each 7
earlier 3
earliest 3
early 4
earth 1
echolocation 1
ecological 2
ediacaran 3
effect 3
effects 3
efficient 1
eg 1
either 4
eldredge 4
element 1
embeddedness 1
embraced 1
embryos 1
emphases 1
emphasise 1
empirically 1
enable 1
end 3
ended 1
enemies 1
engine 1
enhance 2
enhanced 2
enormous 1
enough 1
entrenched 2
environment 3
environmental 3
ephemeral 1
episodes 1
equilibrium 5
errors 1
ers 1
escalator 1
escape 1
especially 4
essential 1
estimate 1
etc 1
ethical 2
ethics 1
eukaryotic 4
eva 1
evangelical 1
even 6
event 1
events 12
every 3
everyone 2
everything 2
evidence 5
evidenced 1
evolution 43
evolutionary 55
evolvability 6
evolve 1
evolved 8
evolves 1
evolving 2
exaggeration 1
example 11
examples 5
excellence 1
exception 1
exchanges 1
exclusively 1
exemplified 2
exempt 1
exist 2
existence 8
expand 1
expected 1
expense 2
experiments 1
explain 2
explainable 1
explained 4
explaining 4
explains 2
explanation 2
explanations 4
explanatory 2
explore 2
explores 2
explosion 4
explosive 3
express 2
expression 2
expressivism 1
expressivist 1
extend 1
extended 3
extension 1
extent 2
extinct 5
extinction 21
extinctions 5
extrapolating 1
extrapolationism 6
extrapolationist 1
extrapolationists 1
extreme 1
exuberant 1
eyes 2
eytan 1
facilitated 1
facilitating 1
fact 6
factors 1
facts 5
factual 1
failed 1
failure 1
fairly 2
fallen 1
falling 1
false 1
families 1
famous 1
far 1
fauna 9
feature 2
features 8
females 1
few 5
filter 1
final 1
finally 2
finch 1
find 6
findings 1
first 4
firstly 2
fish 1
fitness 1
fixed 1
focused 1
follow 1
followed 2
following 1
for 33
form 2
formation 1
formed 1
former 1
forms 1
formulating 1
forth 1
fortuitous 1
fossil 10
fossilised 1
fossils 6
found 1
four 1
fourth 1
fragments 1
framework 1
frequency 2
frequent 1
from 18
frozen 2
frozenin 1
fully 1
fundamental 4
further 8
future 1
gained 1
game 1
gappiness 1
gave 1
gaylord 1
gene 17
genealogical 2
genealogies 1
genera 1
general 5
generate 3
generated 6
generating 1
generation 1
generational 1
generations 2
genes 20
geneselectionist 2
genetic 5
genome 1
genomes 1
genotype 1
genotypes 1
genuine 2
genuinely 1
geographic 1
geographical 2
geological 6
geologically 1
geology 1
george 1
given 2
gives 1
global 1
gone 1
good 3
gould 95
gradual 3
gradualistic 1
gradually 3
granddaughter 1
grazers 1
grazing 1
great 1
greater 2
greenland 1
group 2
groups 4
growing 1
guarantee 1
guess 2
habitat 1
had 4
haemoglobin 1
hand 1
happen 1
happened 1
happening 1
happens 1
hard 5
harder 1
has 35
hates 1
have 28
having 3
he 31
heat 1
help 1
hence 5
here 2
heritability 1
heterogeneity 1
hidden 2
highlevel 1
highlights 1
highly 2
his 9
histogram 1
histories 1
history 33
hominid 1
horse 4
horses 4
host 1
hostage 1
hostility 2
hot 1
hottest 1
how 11
however 13
hubris 1
human 15
humans 5
hunch 2
hunters 1
hunting 1
hypotheses 2
hypothesis 5
i 4
idea 6
ideas 10
ideological 1
ideology 3
ie 1
if 5
ii 1
iii 2
illmotivated 1
illusion 2
illustrate 1
illustrated 2
illustrating 1
impact 2
impacts 1
imperative 1
imperfection 1
importance 4
important 14
imposed 1
imposing 1
improbable 1
improved 1
improvement 1
improving 1
in 172
incautiously 1
inclined 2
include 2
including 4
inclusive 1
incomplete 1
incorrect 1
increase 7
increased 7
increases 2
increasing 2
indeed 1
independent 4
indicated 1
individual 1
individualbased 1
individuals 2
infallible 1
influence 2
influenced 1
influences 1
information 1
inherent 1
initial 3
injunctions 1
innovations 1
innumerable 1
insights 1
instance 2
instantaneous 1
instead 1
integration 1
intellectual 1
intense 1
interact 1
interaction 1
interactions 1
interested 2
interests 1
intermittent 2
internal 1
interpreted 2
interprets 1
into 9
intrinsic 1
introductory 1
invaded 1
invented 1
involves 1
irrelevant 3
irreversibly 1
is 147
isolate 1
issue 4
issues 4
it 35
its 11
itself 2
jablonka 1
jellyfish 1
john 1
jonathan 1
just 9
kind 3
kingdom 1
know 2
knowledge 6
known 3
lack 2
land 2
large 4
largely 2
larger 8
largescale 8
largish 2
last 2
laws 1
leading 1
leads 1
learning 1
least 3
leaving 1
led 1
left 4
less 6
lesser 1
level 3
levels 3
lever 1
lewontin 1
liberating 1
lie 1
life 37
lifecycle 1
lifestyles 1
lifewhere 1
light 2
like 4
likelihood 2
likely 7
limit 1
limited 1
limits 3
lineage 7
lineagelevel 1
lineages 18
list 1
little 1
live 3
living 3
local 14
locates 1
locked 1
loners 1
long 6
losers 1
loss 3
lower 2
luck 1
machines 2
macroevolution 1
macroevolutionary 1
magpie 1
main 5
maintained 1
maintenance 1
major 9
make 7
makers 1
makes 2
making 5
males 1
mammals 1
man 1
many 13
maotianshan 1
marine 2
mark 1
marked 1
mass 17
massive 2
material 1
matrix 1
matters 1
maximum 1
may 9
maybe 2
maynard 5
mean 1
measurable 1
measure 1
measured 1
measurement 1
measures 1
mechanisms 5
memes 2
mere 2
met 1
metabolic 1
meted 1
meteor 2
method 1
methodology 1
methods 1
microevolution 2
microevolutionary 4
microevolutionchange 1
middle 1
might 1
million 9
millions 1
minimum 1
minor 2
misleading 2
mismeasure 1
misrepresent 1
mistake 1
misunderstanding 1
misunderstood 2
mode 3
model 1
modifications 1
modified 1
modular 1
modularity 1
molecular 4
molluscs 1
monophyletic 1
moral 10
morality 1
more 25
moreover 5
morphological 4
morphologies 1
morphology 1
morris 1
most 19
mostly 3
mount 1
move 2
moving 1
much 6
multicelled 3
must 1
mutations 1
my 1
myr 2
myth 1
n 1
naive 2
named 1
natural 6
naturalism 2
nature 4
near 1
nearly 1
need 3
needs 1
negate 1
neglected 1
nevertheless 1
new 10
news 1
next 1
no 19
nonavian 1
nonscientifically 1
nonselective 1
nor 2
normal 1
not 75
noted 1
notes 16
nothing 2
notwithstanding 1
now 4
nuclear 1
number 1
numerous 2
objective 9
objectively 1
observable 1
observations 1
observer 1
obtaining 1
occasional 2
occasionally 1
occur 4
occurring 1
occurs 2
of 306
off 1
offers 2
oftcited 1
often 9
old 1
older 1
on 52
once 6
one 15
ones 2
onesided 1
only 7
open 4
opened 1
operating 1
operational 1
opinions 1
opportunity 1
opposed 1
option 2
options 2
or 29
orders 1
ordinary 1
organ 1
organisation 1
organisational 1
organism 11
organisms 22
origin 1
originate 1
origins 2
orthodoxy 3
other 16
others 1
otherwise 1
ought 1
our 5
ourselves 1
out 8
outcomes 1
outlaw 1
outlaws 2
outline 1
outlined 1
outlines 2
outright 1
outside 1
over 17
overall 1
overestimates 1
overnight 1
overstates 2
own 3
oxygencarrying 1
paleobiology 1
paleontological 3
paleontologist 1
paradigm 1
paradoxically 1
parasitehost 1
parasites 1
parasitic 2
parental 1
part 3
partial 2
particular 7
pass 1
passet 1
past 1
pathogens 1
pathways 3
pattern 5
patterns 11
peaked 1
pelagic 1
perception 1
perceptions 1
perhaps 6
period 2
periods 3
permanent 1
permian 1
persistence 1
person 2
perspective 4
pertain 1
pertaining 1
perverted 1
peter 1
phenomenon 2
phenotype 4
phenotypes 2
phenotypic 7
phyla 6
phylum 1
physical 2
physics 2
physiological 1
place 1
plans 4
plansbasic 1
plants 1
plausibility 1
plausible 2
played 4
pnbsp 1
pnbsp0 1
pnbsp1 1
pnbsp100 1
pnbsp108 1
pnbsp110 2
pnbsp113 1
pnbsp116 3
pnbsp117 2
