10245169
/m/02q6c7y
/m/02q6c7y
Caroline Lawrence
2002-10-17
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
11th 1
3 1
a 17
about 2
abut 1
admits 1
after 2
again 1
agrees 1
alive 2
all 4
allowed 1
also 2
always 1
an 3
and 34
any 1
apologizes 1
are 4
aristo 4
arrested 3
arrests 1
as 4
ask 1
asking 1
asks 1
assassin 4
assassins 2
at 9
aulus 1
back 1
bad 2
bass 1
bato 2
be 2
because 6
becomes 1
been 5
before 3
begins 1
behind 1
ben 27
berenice 1
birthday 2
bodyguard 1
brand 1
branded 1
breaks 1
brother 1
bush 1
but 2
butts 1
by 3
caecilius 1
called 2
cart 1
caudex 1
cave 1
celer 1
chance 1
changed 1
chapter 1
characters 1
chases 1
city 1
climbs 1
clio 2
cold 1
come 1
conversation 1
cornix 1
could 4
crucified 1
cryptoporticuses 1
cyclops 1
day 1
decides 1
designer 1
did 1
didnt 1
died 1
dies 1
dinner 1
disappeared 1
discovering 1
disguised 1
dreams 1
driver 1
eight 1
emperor 8
empty 1
end 1
escape 2
escapes 1
everyone 1
evil 1
except 3
exceptional 1
explains 1
ezra 8
falls 1
father 4
feast 2
feles 1
felix 1
find 2
finds 1
first 2
flavia 9
flavius 2
for 7
frees 1
friends 3
from 2
gave 1
gets 1
gives 1
glass 1
gloomy 1
go 5
goes 1
golden 9
gone 1
great 1
group 1
guard 1
had 4
happens 1
has 5
hate 1
have 1
he 23
head 1
hear 1
help 3
helped 1
her 5
here 2
hides 1
hiding 1
him 19
hired 3
his 18
house 10
ideas 1
if 2
imprinted 1
in 12
into 1
invited 1
invites 1
involved 1
is 24
it 5
jar 2
jerusalem 2
jonah 18
jonathan 30
kill 3
knock 1
knows 1
leads 1
leave 3
lemon 2
life 1
loom 1
lover 1
lupus 4
lykos 1
lyre 1
mainly 1
making 1
meanwhile 5
meets 2
mentions 1
message 2
messenger 1
miriam 1
mistress 1
mordecai 1
mother 10
music 1
musical 1
musician 1
musicians 3
must 1
myrtilla 1
name 2
needs 1
nephew 1
news 1
next 1
night 1
not 7
nubia 3
octagonal 1
of 15
official 2
officials 1
oil 2
okay 1
old 1
on 3
opens 1
option 1
or 2
other 2
others 1
out 2
palace 3
passages 1
perform 2
performing 1
persuade 1
playing 2
plot 1
porcius 2
presents 1
prison 1
provide 1
races 1
rachel 1
real 1
realizes 2
really 1
recognized 1
reminds 1
rental 1
repent 1
rethink 1
returns 1
reward 1
ring 1
ripzah 5
rome 6
roof 2
room 2
same 1
sat 1
satisfied 1
saving 1
saying 1
says 1
scent 1
seal 1
second 1
secretary 1
see 2
sees 2
senator 1
sent 1
set 1
she 8
shepenwepet 1
shows 3
siege 1
sieged 1
since 1
sister 1
sisyphus 6
slave 2
slaves 1
so 2
something 1
sorry 1
speaking 1
spots 1
start 1
stay 1
stayed 1
stays 2
steward 1
still 1
story 1
stranger 3
surprised 2
survived 1
susannah 12
take 1
talent 1
talented 2
talking 1
tambourine 1
target 1
tell 1
telling 1
tells 13
thanked 1
that 26
the 62
their 1
them 8
there 1
they 5
thinks 3
this 1
through 1
throws 1
time 1
titus 9
to 31
too 1
took 1
treason 1
tricks 1
trip 1
turns 3
up 6
very 1
vespanius 2
visit 1
visited 2
volcano 1
wants 1
warn 1
was 8
ways 1
well 2
went 1
what 1
when 1
where 1
which 1
while 1
who 3
why 4
wife 1
will 1
with 10
woman 2
women 1
wonders 1
work 1
would 1
year 1
years 1
