10300274
/m/02q7t9v
/m/02q7t9v
Alison Croggon

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
after 2
all 1
alone 2
already 1
an 3
ancient 1
and 20
are 5
army 4
around 1
arrive 1
as 5
asks 1
at 2
attack 2
away 2
back 1
bard 1
bards 1
battle 1
be 1
because 1
becomes 1
been 1
best 1
bird 1
black 2
body 1
brother 2
by 3
called 1
came 3
campthey 1
carrying 1
centre 1
chance 1
child 1
children 1
cities 1
city 3
could 1
couldnt 1
crow 2
crows 1
dark 1
day 2
days 1
death 1
destroyed 1
did 1
discovered 1
does 1
elidhu 1
empty 1
escape 1
escapes 1
evacuated 1
even 1
expected 1
few 1
find 2
finds 2
foot 1
for 1
found 2
friends 1
from 3
garden 1
girl 1
gives 1
goes 1
had 2
hard 1
has 1
have 1
he 9
heal 1
helps 1
hem 16
her 4
herself 1
hideout 1
him 5
his 3
honor 1
how 1
in 9
irc 6
iron 1
is 3
it 3
keeps 1
killed 1
know 1
language 1
later 3
left 1
lessons 1
light 1
maerad 2
make 1
mauled 1
meets 1
mentor 2
met 1
minor 1
months 1
mostly 1
mural 1
name 1
nameless 2
names 1
nearest 1
nearly 1
never 1
news 1
north 1
not 1
of 12
off 1
one 5
orphaned 1
other 1
out 2
parents 1
part 2
pass 1
pilani 1
pit 1
player 1
quarrel 1
ran 1
receives 1
remain 1
request 1
rescues 1
riddle 1
room 1
safe 1
saliman 6
save 1
says 1
school 2
search 1
sends 1
set 2
several 1
sharma 2
shiny 2
sister 1
soon 1
south 2
spends 1
spies 2
spots 1
spying 1
stay 1
stays 1
stop 1
story 1
suderain 2
tailing 1
teachers 1
tells 2
that 7
the 38
their 1
them 1
then 2
there 2
they 6
thing 3
those 1
through 1
time 1
to 11
told 2
touch 1
tower 1
towns 1
tracking 1
trained 2
travel 1
treeman 4
treesong 3
turbansk 6
under 1
underground 1
up 1
very 1
waiting 1
wandering 1
was 7
were 1
what 1
when 2
where 2
which 1
while 3
white 1
whose 1
with 4
woods 1
works 1
wounded 1
yet 1
zelika 8
